@relation 'MLC'

@attribute F1_MEAN_on_ACC_V2 numeric
@attribute F2_MEAN_on_filter_BP_on_A_V2 numeric
@attribute F3_VAR_on_ACC_V2 numeric
@attribute F4_VAR_on_filter_BP_on_A_V2 numeric
@attribute F5_ENERGY_on_ACC_V2 numeric
@attribute F6_ENERGY_on_filter_BP_on_A_V2 numeric
@attribute F7_PeakToPeak_on_ACC_V2 numeric
@attribute F8_PeakToPeak_on_filter_BP_on_A_V2 numeric
@attribute F9_ZeroCross_on_ACC_V2 numeric
@attribute F10_ZeroCross_on_filter_BP_on_A_V2 numeric
@attribute F11_PeaKDet_on_ACC_V2 numeric
@attribute F12_PeaKDet_on_filter_BP_on_A_V2 numeric
@attribute F13_MIN_on_ACC_V2 numeric
@attribute F14_MIN_on_filter_BP_on_A_V2 numeric
@attribute F15_MAX_on_ACC_V2 numeric
@attribute F16_MAX_on_filter_BP_on_A_V2 numeric
@attribute class {stationary, walking, running, cycling}

@data
0.984375, -0.00026679, 0, 9.41753e-06, 58.125, 0.000567913, 0.0512695, 0.0144653, 56, 28, 40, 20, 0.95752, -0.00786591, 1.00879, 0.00659561, stationary
0.98584, 0.000103533, 0, 6.3777e-06, 58.125, 0.000383854, 0.0463867, 0.0111694, 58, 18, 35, 19, 0.960449, -0.0070343, 1.00684, 0.00413132, stationary
0.989746, 1.68085e-05, 0, 9.17912e-06, 58.6875, 0.000551224, 0.0458984, 0.0129242, 60, 22, 44, 14, 0.966797, -0.00729752, 1.0127, 0.00562668, stationary
0.987305, -0.000346184, 0, 9.05991e-06, 58.2188, 0.00054884, 0.0512695, 0.0115585, 52, 22, 41, 20, 0.956543, -0.00615311, 1.00781, 0.00540543, stationary
0.98584, -0.000279427, 0.000488281, 1.00732e-05, 58.2813, 0.000607014, 0.0385742, 0.012352, 46, 18, 37, 13, 0.967285, -0.00619888, 1.00586, 0.00615311, stationary
0.987793, 0.00028801, 0, 5.72205e-06, 58.375, 0.000346422, 0.0522461, 0.0122681, 64, 26, 38, 19, 0.967285, -0.00593567, 1.01953, 0.00632858, stationary
0.984863, -0.000251532, 0, 1.22786e-05, 58.0938, 0.000740528, 0.0419922, 0.0139389, 44, 14, 38, 18, 0.962891, -0.00672531, 1.00488, 0.00720978, stationary
0.981445, -0.00018692, 0, 1.37091e-05, 57.75, 0.000825405, 0.0532227, 0.0154343, 40, 14, 36, 15, 0.953613, -0.00817871, 1.00684, 0.00725174, stationary
0.986816, -4.72665e-05, 0, 1.04308e-05, 58.3438, 0.000626087, 0.046875, 0.0151215, 46, 18, 37, 16, 0.963867, -0.00668335, 1.01074, 0.00843811, stationary
0.981445, -0.000281096, 0, 5.96046e-06, 57.6563, 0.000360966, 0.050293, 0.00971222, 44, 26, 33, 18, 0.955566, -0.00514221, 1.00586, 0.00457001, stationary
