A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
131	908	-393	1.60125	47.0663	-8.74125
195	935	-403	1.49625	62.0113	-16.975
234	864	-406	0.86625	84.91	-27.545
217	851	-435	7.02625	113.26	-40.04
237	890	-467	12.32	139.248	-50.0413
182	875	-504	11.4363	165.953	-58.3713
212	890	-550	8.60125	188.493	-67.2613
110	854	-555	4.095	211.951	-77.3325
27	835	-539	1.07625	223.668	-83.5538
-245	856	-439	3.31625	216.641	-74.445
-520	967	-307	7.735	170.625	-51.275
-766	1048	-190	6.51	80.1063	-21.9275
-605	1026	-219	1.39125	-38.7538	17.045
-483	964	-336	-4.10375	-136.115	52.1588
-368	852	-508	-7.70875	-214.856	79.5725
-118	809	-659	-8.5925	-270.944	91.6388
28	830	-702	-10.2463	-286.414	94.9025
269	925	-730	-19.6525	-281.339	98.9975
465	820	-622	-31.745	-232.75	86.4938
341	846	-472	-28.3325	-166.39	71.3563
414	871	-414	-22.1988	-116.235	46.6025
346	882	-360	-15.4613	-64.82	24.3863
260	894	-333	-8.60125	-24.2288	7.32375
208	925	-321	-3.2725	4.13	-2.72125
131	937	-310	-1.1375	22.995	-6.86
99	946	-311	0.09625	31.0275	-10.3775
189	935	-324	0.7175	37.9575	-14.3063
250	893	-345	3.955	58.0213	-21.3588
268	917	-376	8.9425	86.7563	-34.7638
288	881	-415	10.6663	121.354	-47.1975
247	893	-476	12.74	158.288	-54.95
299	898	-526	11.5063	193.664	-65.065
354	799	-647	8.68	239.593	-75.0663
3	762	-657	13.4488	281.216	-84.315
-249	836	-526	19.9763	275.223	-83.0638
-537	902	-383	23.45	229.731	-70.56
-744	1059	-242	26.8538	140.989	-51.5113
-685	1146	-199	14.0963	25.7513	-15.9863
-563	1026	-277	-4.26125	-79.7038	20.1163
-559	973	-386	-12.285	-165.506	51.275
-374	893	-574	-17.675	-243.618	82.7663
