A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
124	832	-172	-7.21875	-6.16	11.0863
151	837	-208	-4.97	-3.9725	8.86375
149	875	-229	-4.41875	-3.535	9.2225
168	922	-243	-10.6488	-3.40375	5.55625
163	928	-237	-15.4963	-3.3425	-0.6475
192	921	-236	-16.1525	-3.7975	-3.52625
210	932	-238	-13.0725	0.805	5.55625
223	923	-254	-1.995	-3.29875	16.1175
218	956	-281	2.73	-12.6788	10.815
230	1100	-357	4.62875	-23.24	-6.6325
262	1095	-416	10.6138	-28.1225	-18.4538
183	981	-438	15.5225	-22.3563	-15.9513
107	947	-478	17.5875	-12.6525	-4.9
120	1026	-499	15.6013	-5.92375	1.6975
85	988	-468	10.6925	-1.51375	2.58125
75	906	-373	6.55375	0.56	3.6225
84	825	-295	5.99375	2.135	3.885
85	812	-263	8.785	7.1925	5.31125
111	807	-259	12.6963	13.2038	6.65875
152	833	-260	17.71	15.89	2.21375
134	862	-269	19.4688	19.2763	-1.82875
133	826	-283	27.0638	18.6025	1.26
144	879	-317	33.9413	17.0538	9.135
177	968	-318	17.8675	27.0813	1.63625
180	996	-301	-7.11375	37.4063	-20.4925
191	1164	-289	-27.5538	43.6538	-28.9538
190	1167	-243	-33.1538	42.6825	-19.2063
211	1139	-151	-27.405	37.3275	-6.22125
213	959	-90	-23.0125	32.27	1.54875
182	943	-63	-16.6338	25.5938	5.50375
114	918	-69	-12.775	22.6275	6.58
114	822	-80	-10.115	19.95	6.86
118	785	-120	-3.325	10.2988	9.7125
160	834	-166	-2.19625	3.92	7.4375
199	873	-204	-4.2175	4.445	-2.87875
167	917	-219	-4.9	-0.28	-10.6575
176	936	-227	-10.5525	-4.99625	-4.9875
181	940	-229	-12.285	-10.3688	7.56
193	966	-228	-5.71375	-30.8088	6.57125
223	933	-232	8.05875	-50.2775	-9.485
206	940	-263	25.2788	-46.1125	-27.3438
245	1195	-360	32.7338	-21.1225	-32.9788
117	1134	-426	26.4513	0.76125	-19.5038
-29	959	-480	20.3088	6.72	-1.3825
60	1055	-493	13.7813	4.1825	6.13375
17	1003	-464	5.83625	6.685	4.48875
-34	968	-406	1.67125	10.6663	3.185
2	907	-333	3.70125	14.4463	4.515
34	840	-272	7.98875	14.9975	3.68375
46	778	-241	11.3313	14.805	1.07625
68	808	-237	13.37	16.8613	-1.88125
87	850	-246	23.1263	13.72	-5.38125
56	871	-263	23.5988	16.8525	-0.945
48	889	-275	8.14625	29.5488	-0.74375
44	925	-289	-10.0188	37.345	-15.68
81	984	-294	-21.8925	41.7375	-21.1225
124	1055	-306	-25.06	40.5913	-15.0063
128	1148	-275	-19.9325	33.8013	-7.98
131	1190	-204	-13.0288	25.2263	-0.49875
121	1085	-91	-8.14625	19.4513	4.73375
127	955	-49	-5.87125	17.605	7.07
62	960	-25	-3.7625	16.6688	5.705
16	950	-38	-2.1175	16.0388	5.1625
36	828	-73	-1.1025	13.3963	8.26875
87	786	-132	-3.9025	12.5913	9.66875
145	845	-193	-6.95625	15.995	2.65125
