A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
347	783	230	-35.105	46.9088	-0.83125
312	799	282	-23.6688	33.845	2.5375
294	789	321	-11.7775	19.9938	-3.45625
204	799	339	0.945	0.035	-3.185
288	782	298	14.2275	-28.4725	2.87875
364	801	230	27.9738	-45.9463	7.7
417	841	165	36.0413	-52.675	7.62125
364	816	125	39.2088	-54.81	4.03375
441	804	60	46.1038	-63.6038	2.42375
454	811	6	52.2813	-63.3938	1.86375
439	832	-66	57.33	-62.6063	0.9625
474	864	-142	58.8263	-60.795	0.32375
403	878	-177	53.8825	-57.8638	0.69125
426	880	-199	46.6725	-62.0813	3.5
467	815	-250	41.0813	-60.585	5.39875
388	796	-284	43.7238	-55.6063	6.08125
482	836	-324	46.6288	-56.735	3.87625
378	769	-350	45.4825	-47.6788	2.00375
414	763	-393	50.0238	-49.2538	3.75375
400	759	-439	53.34	-46.6813	6.95625
342	775	-482	53.305	-45.2375	6.81625
394	775	-521	49.2275	-48.2563	7.28875
373	746	-559	43.7938	-43.995	8.23375
349	729	-604	39.6638	-41.0113	7.76125
372	765	-654	33.5825	-37.975	4.5675
394	786	-697	21.7788	-27.9738	0.4725
396	764	-724	7.58625	-12.8888	-2.87875
390	766	-721	-5.5125	5.8625	-6.90375
389	793	-712	-18.3838	23.8	-9.0825
398	776	-669	-32.1038	42.0788	-8.93375
365	739	-602	-41.7638	57.295	-7.56875
350	765	-551	-46.9175	63.6913	-8.89875
364	778	-501	-51.8263	65.9313	-10.7013
356	791	-448	-57.1725	66.2288	-8.49625
383	800	-389	-61.005	63.6388	-7.84875
400	779	-336	-61.8363	60.9525	-7.97125
422	803	-289	-58.7738	60.1213	-10.0975
394	812	-235	-56.665	61.3725	-10.2725
411	846	-185	-54.5475	59.5963	-9.38
385	863	-137	-55.2388	59.1938	-7.76125
408	880	-88	-56.8225	55.3	-4.0425
426	875	-44	-59.9375	54.7925	-0.5075
405	858	18	-61.46	55.1775	3.68375
415	855	72	-60.9525	53.4188	8.9075
375	791	148	-58.66	50.2425	11.0163
352	729	251	-46.27	40.1188	7.23625
325	729	305	-26.8625	24.4213	6.04625
294	761	320	-6.97375	4.305	6.6325
372	721	292	11.0775	-16.975	2.975
416	759	224	31.1325	-27.3438	1.19875
370	803	167	44.94	-34.4225	1.91625
401	856	112	51.6425	-45.5788	1.645
469	862	39	49.805	-51.17	2.45875
414	831	-3	47.5563	-50.1113	3.96375
503	844	-69	48.8075	-53.7863	7.105
479	853	-106	46.8913	-48.5538	7.97125
405	825	-125	44.9663	-48.44	3.9725
472	797	-172	46.8738	-53.9088	1.0675
432	794	-222	50.4613	-53.4888	2.765
497	836	-269	51.7213	-55.58	5.6
442	790	-309	48.72	-49.2888	5.31125
414	765	-346	50.8463	-49.7438	3.885
422	733	-388	54.8363	-52.22	4.2175
405	740	-437	59.4475	-53.2788	4.3925
427	753	-498	60.5325	-53.3225	4.9175
408	769	-552	55.3263	-49.595	5.88
380	754	-592	46.6638	-45.9025	5.46875
399	728	-631	37.7388	-44.3625	6.43125
345	759	-681	29.015	-39.1125	5.36375
434	819	-744	13.8163	-34.51	0.51625
449	790	-762	-7.44625	-13.055	-5.43375
425	780	-742	-25.5938	11.8388	-6.39625
402	767	-681	-39.76	34.4225	-6.25625
388	735	-610	-49.0788	51.2313	-4.9
332	718	-538	-53.62	59.7713	-2.98375
366	742	-493	-53.8038	57.9075	-1.72375
419	777	-449	-53.76	59.1675	-2.7125
375	766	-391	-54.9763	62.0288	-3.675
458	805	-341	-53.8475	58.485	-5.1975
482	813	-309	-54.7838	63.3675	-7.25375
460	806	-263	-56.14	70.5163	-10.3075
450	822	-197	-56.3325	72.8788	-11.2613
