STEVAL-STWINKT1 (ISM330DHCX) 


A_X [g]	A_Y [g]	A_Z [g]	G_X [mdps]	G_Y [mdps]	G_Z [mdps]	
  -0.001525000	  -0.033245000	   1.011990000	 122.500000000	-901.250000000	-437.500000000	
  -0.006893000	  -0.032696000	   1.010282000	 148.750000000	-857.500000000	-376.250000000	
  -0.007869000	  -0.030622000	   1.017968000	 122.500000000	-1093.750000000	-507.500000000	
   0.001281000	  -0.033123000	   1.015467000	  96.250000000	-927.500000000	-516.250000000	
  -0.004941000	  -0.032879000	   1.007476000	 192.500000000	-778.750000000	-446.250000000	
  -0.009577000	  -0.030927000	   1.015101000	 253.750000000	-1023.750000000	-463.750000000	
  -0.000610000	  -0.033733000	   1.020469000	 166.250000000	-997.500000000	-498.750000000	
  -0.005002000	  -0.031781000	   1.007598000	 157.500000000	-848.750000000	-446.250000000	
  -0.007930000	  -0.030439000	   1.014613000	 175.000000000	-1032.500000000	-428.750000000	
   0.001708000	  -0.033794000	   1.014857000	 166.250000000	-971.250000000	-490.000000000	
  -0.008296000	  -0.033794000	   1.012722000	 236.250000000	-848.750000000	-437.500000000	
  -0.009882000	  -0.028792000	   1.015040000	 218.750000000	-962.500000000	-393.750000000	
   0.005734000	  -0.032086000	   1.015955000	 175.000000000	-1050.000000000	-472.500000000	
  -0.005917000	  -0.036173000	   1.006378000	 166.250000000	-813.750000000	-472.500000000	
  -0.012749000	  -0.031171000	   1.014186000	 201.250000000	-918.750000000	-411.250000000	
   0.000122000	  -0.030378000	   1.019310000	 148.750000000	-1146.250000000	-463.750000000	
  -0.000061000	  -0.035868000	   1.010892000	 131.250000000	-796.250000000	-472.500000000	
  -0.011407000	  -0.033428000	   1.015772000	 227.500000000	-752.500000000	-367.500000000	
  -0.003782000	  -0.027328000	   1.009916000	 192.500000000	-1076.250000000	-411.250000000	
   0.003050000	  -0.034160000	   1.012356000	 148.750000000	-831.250000000	-446.250000000	
  -0.011773000	  -0.035868000	   1.013820000	 140.000000000	-796.250000000	-411.250000000	
  -0.007686000	  -0.027938000	   1.017175000	 183.750000000	-1085.000000000	-507.500000000	
   0.005490000	  -0.034038000	   1.011746000	 157.500000000	-997.500000000	-455.000000000	
  -0.008052000	  -0.035929000	   1.010404000	 227.500000000	-726.250000000	-385.000000000	
  -0.011590000	  -0.028060000	   1.018456000	 210.000000000	-927.500000000	-393.750000000	
   0.007076000	  -0.031171000	   1.014552000	 166.250000000	-1032.500000000	-463.750000000	
  -0.006832000	  -0.037149000	   1.008574000	  96.250000000	-700.000000000	-393.750000000	
  -0.015860000	  -0.029768000	   1.010526000	 218.750000000	-945.000000000	-428.750000000	
   0.004209000	  -0.028975000	   1.020042000	 140.000000000	-1216.250000000	-472.500000000	
   0.000366000	  -0.036783000	   1.011685000	 105.000000000	-735.000000000	-402.500000000	
  -0.014945000	  -0.033306000	   1.012661000	 175.000000000	-822.500000000	-385.000000000	
  -0.002806000	  -0.026413000	   1.012783000	 166.250000000	-1198.750000000	-455.000000000	
   0.006405000	  -0.036234000	   1.011075000	 183.750000000	-875.000000000	-393.750000000	
  -0.016775000	  -0.037454000	   1.016382000	 236.250000000	-700.000000000	-402.500000000	
  -0.006649000	  -0.022631000	   1.016870000	 192.500000000	-1198.750000000	-490.000000000	
   0.009150000	  -0.034221000	   1.008940000	  87.500000000	-945.000000000	-472.500000000	
  -0.008662000	  -0.039955000	   1.010160000	 166.250000000	-700.000000000	-393.750000000	
  -0.016592000	  -0.026169000	   1.018456000	 236.250000000	-1041.250000000	-498.750000000	
   0.007137000	  -0.031781000	   1.011136000	 122.500000000	-1050.000000000	-498.750000000	
  -0.003416000	  -0.039406000	   1.016870000	 166.250000000	-647.500000000	-420.000000000	
  -0.017324000	  -0.030927000	   1.009611000	 157.500000000	-1023.750000000	-446.250000000	
   0.007076000	  -0.027450000	   1.018639000	 105.000000000	-1163.750000000	-481.250000000	
  -0.002867000	  -0.038491000	   1.011014000	 210.000000000	-787.500000000	-446.250000000	
  -0.015006000	  -0.033062000	   1.013576000	 183.750000000	-813.750000000	-507.500000000	
   0.001525000	  -0.025132000	   1.015345000	 201.250000000	-1120.000000000	-498.750000000	
   0.002867000	  -0.036722000	   1.009367000	  96.250000000	-805.000000000	-402.500000000	
  -0.015555000	  -0.036661000	   1.012783000	 157.500000000	-743.750000000	-402.500000000	
  -0.005185000	  -0.023790000	   1.015528000	 245.000000000	-1111.250000000	-551.250000000	
   0.005612000	  -0.032452000	   1.015589000	  78.750000000	-980.000000000	-428.750000000	
  -0.009943000	  -0.041053000	   1.011319000	 218.750000000	-726.250000000	-446.250000000	
  -0.011956000	  -0.027450000	   1.013576000	 297.500000000	-1067.500000000	-525.000000000	
   0.006466000	  -0.028609000	   1.012173000	 183.750000000	-1006.250000000	-455.000000000	
  -0.002989000	  -0.040382000	   1.013881000	 140.000000000	-796.250000000	-393.750000000	
  -0.015982000	  -0.029890000	   1.013759000	 253.750000000	-1023.750000000	-472.500000000	
   0.000671000	  -0.025986000	   1.017236000	 157.500000000	-1076.250000000	-490.000000000	
   0.002379000	  -0.035258000	   1.011441000	 192.500000000	-787.500000000	-411.250000000	
  -0.016348000	  -0.034404000	   1.011136000	 245.000000000	-822.500000000	-455.000000000	
  -0.001769000	  -0.026901000	   1.017724000	 218.750000000	-1120.000000000	-472.500000000	
   0.001220000	  -0.035380000	   1.014552000	 105.000000000	-857.500000000	-428.750000000	
  -0.011834000	  -0.034465000	   1.009550000	 236.250000000	-831.250000000	-437.500000000	
  -0.004148000	  -0.028121000	   1.016016000	 192.500000000	-1102.500000000	-498.750000000	
   0.000488000	  -0.033794000	   1.012234000	  78.750000000	-918.750000000	-376.250000000	
  -0.009333000	  -0.036417000	   1.018029000	 131.250000000	-822.500000000	-402.500000000	
  -0.006649000	  -0.030256000	   1.013454000	 131.250000000	-980.000000000	-498.750000000	
   0.002806000	  -0.029341000	   1.010404000	 140.000000000	-945.000000000	-463.750000000	
  -0.006954000	  -0.038674000	   1.011624000	 105.000000000	-778.750000000	-332.500000000	
  -0.010858000	  -0.031903000	   1.020713000	 157.500000000	-988.750000000	-463.750000000	
   0.000244000	  -0.027755000	   1.011624000	 140.000000000	-927.500000000	-455.000000000	
  -0.002013000	  -0.034221000	   1.012417000	 113.750000000	-901.250000000	-446.250000000	
  -0.008784000	  -0.035197000	   1.010892000	 131.250000000	-962.500000000	-498.750000000	
  -0.003782000	  -0.031659000	   1.014186000	 175.000000000	-1076.250000000	-490.000000000	
  -0.001891000	  -0.033062000	   1.011441000	 113.750000000	-892.500000000	-393.750000000	
  -0.008845000	  -0.033245000	   1.014369000	 157.500000000	-945.000000000	-463.750000000	
  -0.002013000	  -0.030744000	   1.016138000	 183.750000000	-1041.250000000	-498.750000000	
  -0.004819000	  -0.033733000	   1.009428000	 227.500000000	-918.750000000	-385.000000000	
