STEVAL-STWINKT1 (ISM330DHCX) 


A_X [g]	A_Y [g]	A_Z [g]	G_X [mdps]	G_Y [mdps]	G_Z [mdps]	
  -0.004697000	  -0.031781000	   1.016382000	 131.250000000	-910.000000000	-463.750000000	
  -0.004453000	  -0.031476000	   1.015528000	 113.750000000	-945.000000000	-455.000000000	
  -0.003782000	  -0.031598000	   1.015711000	 227.500000000	-918.750000000	-428.750000000	
  -0.005307000	  -0.032391000	   1.014552000	 166.250000000	-918.750000000	-420.000000000	
  -0.004880000	  -0.031232000	   1.014430000	 183.750000000	-936.250000000	-481.250000000	
  -0.004575000	  -0.032696000	   1.014918000	 183.750000000	-927.500000000	-481.250000000	
  -0.004392000	  -0.032574000	   1.014308000	  96.250000000	-945.000000000	-455.000000000	
  -0.004819000	  -0.032940000	   1.014064000	  87.500000000	-945.000000000	-455.000000000	
  -0.005307000	  -0.031720000	   1.016504000	 175.000000000	-875.000000000	-472.500000000	
  -0.005368000	  -0.031720000	   1.015345000	 166.250000000	-918.750000000	-428.750000000	
  -0.004697000	  -0.032513000	   1.016077000	 140.000000000	-945.000000000	-428.750000000	
  -0.004819000	  -0.032208000	   1.013820000	 192.500000000	-918.750000000	-437.500000000	
  -0.004636000	  -0.031598000	   1.014674000	 140.000000000	-971.250000000	-455.000000000	
  -0.004697000	  -0.031720000	   1.013881000	 175.000000000	-927.500000000	-472.500000000	
  -0.005124000	  -0.031964000	   1.015528000	 201.250000000	-918.750000000	-428.750000000	
  -0.005856000	  -0.032025000	   1.015223000	 227.500000000	-875.000000000	-446.250000000	
  -0.005551000	  -0.031842000	   1.017236000	 175.000000000	-945.000000000	-481.250000000	
  -0.004636000	  -0.032025000	   1.014308000	 166.250000000	-953.750000000	-455.000000000	
  -0.004575000	  -0.031293000	   1.016138000	 175.000000000	-927.500000000	-446.250000000	
  -0.005429000	  -0.031720000	   1.013332000	 131.250000000	-945.000000000	-437.500000000	
  -0.004880000	  -0.031476000	   1.014918000	 140.000000000	-927.500000000	-385.000000000	
  -0.005368000	  -0.032208000	   1.015162000	 122.500000000	-953.750000000	-463.750000000	
  -0.005490000	  -0.032269000	   1.015711000	 175.000000000	-910.000000000	-481.250000000	
  -0.005490000	  -0.032452000	   1.015589000	 157.500000000	-936.250000000	-463.750000000	
  -0.004087000	  -0.031842000	   1.015894000	 175.000000000	-971.250000000	-455.000000000	
  -0.005002000	  -0.032208000	   1.015955000	 157.500000000	-936.250000000	-428.750000000	
  -0.005002000	  -0.032086000	   1.015162000	 175.000000000	-840.000000000	-446.250000000	
  -0.004331000	  -0.032025000	   1.015894000	 166.250000000	-980.000000000	-490.000000000	
  -0.004880000	  -0.031964000	   1.014186000	 157.500000000	-927.500000000	-498.750000000	
  -0.004880000	  -0.033306000	   1.015650000	 122.500000000	-901.250000000	-446.250000000	
  -0.004087000	  -0.031781000	   1.015162000	 148.750000000	-901.250000000	-428.750000000	
  -0.005368000	  -0.031598000	   1.015406000	 175.000000000	-945.000000000	-446.250000000	
  -0.005490000	  -0.032147000	   1.016626000	 113.750000000	-918.750000000	-463.750000000	
  -0.005307000	  -0.031842000	   1.016199000	 113.750000000	-901.250000000	-498.750000000	
  -0.004758000	  -0.032086000	   1.015162000	 131.250000000	-918.750000000	-463.750000000	
  -0.004453000	  -0.030805000	   1.015772000	 148.750000000	-910.000000000	-446.250000000	
  -0.004758000	  -0.031781000	   1.013820000	 157.500000000	-936.250000000	-463.750000000	
  -0.005368000	  -0.031964000	   1.015528000	 175.000000000	-866.250000000	-428.750000000	
  -0.004758000	  -0.032879000	   1.014918000	 131.250000000	-901.250000000	-437.500000000	
  -0.005307000	  -0.031781000	   1.015772000	 192.500000000	-927.500000000	-463.750000000	
  -0.004880000	  -0.031415000	   1.015223000	 148.750000000	-936.250000000	-446.250000000	
  -0.004514000	  -0.031903000	   1.015711000	 166.250000000	-945.000000000	-420.000000000	
  -0.005429000	  -0.031476000	   1.014674000	 175.000000000	-962.500000000	-437.500000000	
  -0.005063000	  -0.031903000	   1.015284000	 227.500000000	-918.750000000	-516.250000000	
  -0.004880000	  -0.031842000	   1.015650000	 131.250000000	-918.750000000	-481.250000000	
  -0.004575000	  -0.032147000	   1.015467000	 166.250000000	-892.500000000	-455.000000000	
  -0.003782000	  -0.032208000	   1.015955000	 166.250000000	-927.500000000	-420.000000000	
  -0.004087000	  -0.032025000	   1.014918000	 131.250000000	-918.750000000	-490.000000000	
  -0.003782000	  -0.031354000	   1.015345000	 157.500000000	-988.750000000	-420.000000000	
  -0.005368000	  -0.031476000	   1.016016000	 122.500000000	-945.000000000	-411.250000000	
  -0.004270000	  -0.032269000	   1.014491000	 131.250000000	-945.000000000	-437.500000000	
  -0.005002000	  -0.031903000	   1.017846000	 105.000000000	-953.750000000	-428.750000000	
  -0.004758000	  -0.031842000	   1.015101000	 140.000000000	-936.250000000	-437.500000000	
  -0.003782000	  -0.031598000	   1.016016000	 113.750000000	-927.500000000	-437.500000000	
