A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
40.504 	 994.544 	 -173.728 	17.43 	 7.91 	 45.43 	
68.808 	 1014.06 	 -166.408 	2.73 	 2.8 	 2.73 	
128.344 	 986.736 	 -155.184 	-13.79 	 3.71 	 -38.92 	
43.432 	 962.336 	 -138.592 	-21.91 	 5.32 	 -66.01 	
4.88 	 967.704 	 -133.224 	-17.85 	 4.06 	 -47.67 	
-27.816 	 979.416 	 -123.952 	-5.81 	 4.97 	 -6.86 	
19.032 	 966.24 	 -135.176 	5.18 	 7 	 24.08 	
62.952 	 964.776 	 -142.008 	11.2 	 16.1 	 34.44 	
59.536 	 987.712 	 -151.28 	13.72 	 23.38 	 35.84 	
59.048 	 996.984 	 -153.232 	11.48 	 25.83 	 26.6 	
71.736 	 992.592 	 -151.28 	5.11 	 24.01 	 10.78 	
95.648 	 998.936 	 -147.864 	-1.96 	 21.07 	 -5.67 	
116.632 	 966.24 	 -145.912 	-5.32 	 23.52 	 -14.28 	
174.216 	 958.432 	 -153.232 	-2.45 	 32.27 	 -15.54 	
212.28 	 970.144 	 -164.456 	2.66 	 48.09 	 -8.61 	
184.952 	 932.568 	 -188.856 	10.22 	 71.82 	 3.22 	
89.792 	 974.048 	 -199.104 	18.34 	 87.43 	 13.16 	
-21.96 	 992.592 	 -161.04 	20.02 	 82.46 	 14.91 	
-97.6 	 999.912 	 -139.08 	14.91 	 61.81 	 7.35 	
13.176 	 1030.17 	 -115.168 	5.6 	 28.98 	 1.75 	
102.968 	 993.568 	 -132.248 	-2.03 	 10.92 	 3.78 	
127.856 	 953.552 	 -133.712 	-3.22 	 4.69 	 3.01 	
154.208 	 948.184 	 -139.568 	-0.63 	 4.62 	 1.96 	
163.968 	 949.648 	 -146.888 	1.89 	 6.09 	 4.69 	
165.432 	 959.896 	 -149.816 	5.04 	 7.35 	 8.47 	
128.344 	 992.592 	 -148.84 	4.83 	 7.49 	 10.85 	
112.24 	 1040.42 	 -142.984 	-3.64 	 5.25 	 -10.71 	
52.704 	 978.928 	 -126.392 	-16.17 	 2.31 	 -59.64 	
167.872 	 894.992 	 -113.704 	-25.13 	 -8.47 	 -105.91 	
228.872 	 866.688 	 -192.272 	3.92 	 21.07 	 9.17 	
-31.72 	 1118.98 	 -133.712 	29.68 	 38.78 	 93.59 	
-40.504 	 1026.75 	 -91.256 	19.53 	 25.48 	 43.26 	
296.216 	 881.328 	 -157.136 	1.05 	 11.55 	 -39.55 	
252.784 	 961.36 	 -204.472 	0.84 	 11.55 	 -29.12 	
73.688 	 1008.21 	 -189.832 	12.88 	 15.61 	 60.27 	
-70.76 	 1045.3 	 -103.944 	13.86 	 15.26 	 66.08 	
365.024 	 846.68 	 -140.056 	-3.5 	 3.22 	 -33.6 	
261.08 	 965.264 	 -164.456 	-1.68 	 11.83 	 -65.38 	
25.376 	 1007.72 	 -173.728 	4.62 	 15.75 	 -5.53 	
48.8 	 1024.8 	 -156.648 	7.49 	 5.74 	 32.76 	
90.28 	 973.072 	 -136.64 	3.08 	 5.32 	 31.57 	
219.6 	 935.496 	 -162.504 	-0.07 	 6.51 	 7.7 	
243.024 	 929.64 	 -167.384 	0.56 	 9.38 	 -9.24 	
196.664 	 950.624 	 -158.6 	4.97 	 16.45 	 -0.56 	
159.576 	 966.24 	 -157.624 	6.93 	 17.92 	 11.69 	
169.824 	 965.264 	 -165.432 	7.42 	 17.01 	 23.24 	
196.176 	 965.264 	 -157.624 	7.42 	 14.14 	 27.3 	
241.56 	 956.968 	 -159.576 	7.07 	 12.53 	 28.56 	
242.048 	 937.936 	 -166.896 	8.05 	 11.27 	 31.36 	
247.416 	 906.216 	 -167.872 	9.52 	 9.1 	 33.39 	
300.608 	 925.248 	 -178.12 	12.04 	 6.58 	 38.92 	
348.432 	 916.952 	 -184.464 	11.97 	 5.32 	 43.68 	
369.416 	 901.824 	 -185.928 	11.27 	 6.37 	 45.64 	
409.432 	 871.568 	 -187.88 	11.06 	 7.56 	 46.06 	
426.024 	 862.296 	 -182.512 	10.99 	 8.4 	 44.8 	
456.28 	 848.144 	 -197.152 	11.34 	 8.54 	 43.47 	
487.512 	 827.648 	 -198.616 	11.9 	 9.24 	 43.54 	
498.736 	 821.792 	 -199.104 	11.97 	 8.82 	 42.91 	
534.848 	 793.976 	 -207.4 	12.25 	 7.56 	 43.05 	
559.736 	 777.872 	 -214.232 	12.53 	 6.44 	 44.17 	
583.648 	 761.28 	 -213.744 	12.53 	 5.32 	 44.31 	
621.224 	 740.784 	 -226.432 	11.69 	 4.48 	 43.82 	
654.896 	 723.216 	 -232.288 	10.57 	 3.22 	 41.3 	
667.584 	 697.84 	 -232.288 	9.1 	 2.94 	 36.68 	
695.888 	 676.856 	 -238.144 	7.91 	 3.57 	 33.32 	
697.84 	 649.528 	 -231.312 	7.07 	 4.41 	 30.94 	
727.608 	 641.72 	 -237.656 	6.3 	 2.87 	 23.45 	
739.808 	 633.424 	 -241.56 	4.41 	 2.1 	 11.06 	
740.784 	 617.32 	 -235.216 	2.45 	 -0.42 	 0.63 	
731.024 	 632.448 	 -239.608 	0.84 	 -1.26 	 -2.73 	
717.848 	 631.472 	 -237.656 	-0.14 	 -1.89 	 -2.59 	
725.168 	 638.304 	 -234.24 	-0.84 	 -2.1 	 -0.63 	
717.848 	 631.96 	 -232.288 	-0.49 	 -0.98 	 1.26 	
735.416 	 645.624 	 -242.536 	-0.21 	 0.35 	 3.22 	
722.24 	 650.992 	 -242.048 	-1.33 	 1.54 	 3.57 	
651.48 	 718.824 	 -234.24 	-7.56 	 -1.68 	 -21.42 	
667.096 	 668.072 	 -229.848 	-16.31 	 -4.62 	 -66.29 	
643.672 	 691.496 	 -214.232 	-24.85 	 -12.46 	 -109.83 	
861.808 	 665.144 	 -274.744 	-15.26 	 -3.29 	 -67.48 	
536.8 	 734.44 	 -184.464 	3.57 	 6.93 	 13.51 	
513.864 	 788.12 	 -163.968 	15.12 	 10.92 	 66.92 	
477.752 	 759.816 	 -165.92 	15.75 	 8.75 	 77.56 	
648.064 	 771.528 	 -230.336 	7.98 	 -0.7 	 45.85 	
744.2 	 725.168 	 -239.12 	-4.62 	 -6.09 	 -9.45 	
646.6 	 686.128 	 -208.376 	-11.06 	 -4.76 	 -55.72 	
857.416 	 625.616 	 -253.272 	-14 	 -6.3 	 -64.54 	
590.968 	 640.256 	 -189.832 	-0.28 	 5.53 	 4.06 	
506.056 	 801.296 	 -176.656 	14.77 	 16.1 	 75.11 	
622.688 	 830.088 	 -222.528 	9.1 	 7.84 	 53.41 	
783.24 	 674.416 	 -224.968 	-2.38 	 -3.57 	 -11.55 	
672.952 	 745.176 	 -204.472 	-8.54 	 -6.09 	 -62.44 	
803.736 	 626.592 	 -252.784 	-18.48 	 -13.09 	 -91.77 	
545.096 	 681.736 	 -184.464 	-7.21 	 -4.13 	 -20.02 	
585.112 	 714.92 	 -212.28 	8.33 	 3.08 	 76.72 	
458.232 	 838.384 	 -155.672 	13.3 	 -2.73 	 88.41 	
814.472 	 675.392 	 -234.24 	2.59 	 -3.22 	 28.77 	
747.128 	 690.52 	 -208.376 	-0.77 	 -3.29 	 -24.01 	
666.12 	 726.144 	 -221.552 	-11.27 	 -6.44 	 -71.54 	
