#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
556952431,34,-18,1001,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
556991958,34,-3,997,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
557033034,47,-4,1004,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
557070903,42,-18,1003,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
557111654,49,-7,1016,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
557151170,48,-20,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
557190594,65,-16,1016,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
557230109,70,-23,1010,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
557269533,75,-22,1007,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
557309056,76,-7,1001,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
557349808,83,-36,992,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
557389557,100,-24,1005,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
557428755,84,-30,992,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
557468651,79,-39,983,,,,,,,,,,0x029,,,,,,,,,,,,,,,,,,,,,,,,,,
557507858,105,-27,1011,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
557547373,92,-30,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
557586806,91,-60,988,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
557627877,100,-61,998,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
557667302,91,-37,998,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
557706825,86,-57,985,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
557746800,96,-65,994,,,,,,,,,,0x01a,,,,,,,,,,,,,,,,,,,,,,,,,,
557785573,90,-60,997,,,,,,,,,,0x06c,,,,,,,,,,,,,,,,,,,,,,,,,,
