#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
638552297,56,-50,-976,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
638591503,71,-25,-986,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
638631795,73,-36,-1000,,,,,,,,,,0x00a,,,,,,,,,,,,,,,,,,,,,,,,,,
638670241,66,-50,-999,,,,,,,,,,0x03c,,,,,,,,,,,,,,,,,,,,,,,,,,
638709764,73,-47,-991,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
638751070,74,-26,-987,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
638790432,103,-21,-1011,,,,,,,,,,0x049,,,,,,,,,,,,,,,,,,,,,,,,,,
638829631,89,-28,-986,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
638869371,91,-22,-981,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
638908576,104,-18,-1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
638948093,116,8,-1015,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
638987525,118,-30,-1029,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
639027040,80,-12,-960,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
639068018,104,-21,-972,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
639107542,111,-9,-981,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
639146742,103,-24,-981,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
639186492,139,5,-989,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
639225690,152,11,-975,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
639265431,116,-4,-961,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
639306518,148,23,-1009,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
639345715,135,22,-1000,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
639385146,144,18,-986,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
639424662,131,5,-983,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
639464085,110,18,-957,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
639503612,129,11,-971,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
639542809,140,4,-987,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
639582549,119,-15,-995,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
639623311,167,2,-1030,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
639662825,143,-15,-1008,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
639703351,100,-6,-956,,,,,,,,,,0x05a,,,,,,,,,,,,,,,,,,,,,,,,,,
639741571,146,24,-981,,,,,,,,,,0x00c,,,,,,,,,,,,,,,,,,,,,,,,,,
639780994,137,27,-964,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
639820675,97,6,-938,,,,,,,,,,0x049,,,,,,,,,,,,,,,,,,,,,,,,,,
639861427,120,-3,-985,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
639901178,123,-6,-1013,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
639940374,116,-12,-1012,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
639980115,129,-9,-1011,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
640019320,145,8,-1008,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
640058836,136,20,-984,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
640099821,115,4,-974,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
640139335,93,-20,-963,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
640178760,85,-29,-973,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
640218283,95,-25,-1004,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
640257480,97,-29,-1023,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
640297229,95,-18,-1006,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
640337982,92,-30,-975,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
640377724,126,2,-979,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
640416930,127,-5,-984,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
640456446,129,-10,-1003,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
640495868,127,-36,-999,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
640535384,126,-23,-995,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
640576459,109,-17,-984,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
640615893,104,-27,-977,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
640655091,94,-26,-968,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
640694833,103,-33,-996,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
640734814,103,-29,-998,,,,,,,,,,0x05a,,,,,,,,,,,,,,,,,,,,,,,,,,
640773351,102,-31,-998,,,,,,,,,,0x00c,,,,,,,,,,,,,,,,,,,,,,,,,,
640812783,106,-25,-992,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
640852451,108,-19,-993,,,,,,,,,,0x009,,,,,,,,,,,,,,,,,,,,,,,,,,
640893429,97,-30,-987,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
640932955,100,-39,-999,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
640972150,97,-33,-990,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
641011900,111,-35,-989,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
641051097,117,-24,-987,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
641090842,127,-19,-996,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
641131601,120,-36,-981,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
641171118,105,-43,-979,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
641210548,89,-51,-980,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
641250067,106,-35,-994,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
641289265,105,-52,-983,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
641329016,126,-19,-997,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
641369770,134,-15,-1015,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
641409521,127,-17,-995,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
641448720,112,-30,-961,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
641488237,111,-41,-975,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
641527667,122,-24,-989,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
641567184,134,-31,-1014,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
641606605,119,-31,-995,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
641647676,137,11,-986,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
641686874,169,9,-1012,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
641726626,113,17,-942,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
641765824,147,27,-974,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
641806341,136,40,-981,,,,,,,,,,0x02a,,,,,,,,,,,,,,,,,,,,,,,,,,
641846440,133,52,-1015,,,,,,,,,,0x05c,,,,,,,,,,,,,,,,,,,,,,,,,,
641885792,156,48,-1033,,,,,,,,,,0x009,,,,,,,,,,,,,,,,,,,,,,,,,,
641925222,115,69,-951,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
641964739,124,75,-968,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
642003937,183,107,-1028,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
642043681,98,110,-966,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
642082879,138,150,-983,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
642122631,124,148,-984,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
642163382,126,160,-974,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
