#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
10392527603,110,-59,655,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10392567345,111,-68,751,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10392606555,119,-81,921,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10392646070,154,-66,1155,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10392687375,176,-23,1392,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10392726735,219,64,1505,,,,,,,,,,0x049,,,,,,,,,,,,,,,,,,,,,,,,,,
10392766159,170,41,1291,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10392805685,130,18,954,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10392844884,109,-3,681,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10392884625,78,-11,486,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10392923833,30,-61,539,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10392963574,129,-152,940,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10393004338,263,-121,1420,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10393043854,234,-29,1486,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10393083278,210,44,1300,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
