# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[LSB],acc_y[LSB],acc_z[LSB]
8988917,-562,275,1950
8997259,-565,256,1958
9005607,-574,269,1975
9013951,-576,263,1973
9022293,-581,260,1954
9030644,-591,257,1946
9038987,-590,250,1951
9047330,-581,254,1952
9055678,-566,274,1946
9064021,-557,276,1963
9072371,-571,252,1982
9080712,-558,292,2012
9089054,-573,293,2025
9097405,-598,259,2070
9105747,-619,242,2110
9114089,-623,252,2151
9122440,-626,246,2175
9130782,-611,261,2202
9139125,-553,292,2265
9147476,-639,292,2153
9155819,-664,340,2164
9164162,-631,241,2253
9172505,-639,218,2365
9180848,-633,259,2550
9189199,-678,317,2719
9197545,-672,356,2816
9205888,-598,431,2734
9214229,-494,530,2604
9222579,-360,518,2544
9230922,-410,470,2536
9239265,-660,358,2380
9247615,-812,302,2233
9255958,-697,84,2135
9264301,-635,-5,2014
9272644,-616,-54,1900
9280995,-584,-58,1768
9289337,-486,-140,1625
9297679,-445,-169,1580
9306030,-419,-216,1522
9314372,-404,-187,1404
9322714,-366,-176,1306
9331065,-326,-275,1253
9339407,-301,-332,1184
9347750,-252,-360,1115
9356093,-203,-416,1038
9364441,-140,-443,914
9372783,-39,-447,729
9381134,-29,-457,631
9389477,-67,-462,663
9397818,-118,-449,666
9406170,-194,-451,768
9414513,-231,-517,920
9422855,-298,-441,1085
9431198,-394,-340,1215
9439549,-484,-254,1344
9447892,-573,-138,1500
9456236,-605,-22,1686
9464578,-669,-80,2015
9472929,-798,-46,2447
9481271,-831,79,2767
9489614,-883,136,3067
9497966,-913,139,3355
9506306,-971,211,3423
9514649,-1016,358,3411
9522999,-988,373,3375
9531340,-1005,354,3287
9539690,-1028,368,3226
9548033,-969,398,3290
9556374,-901,395,3344
9564718,-913,407,3283
9573069,-958,426,3255
9581411,-940,442,3107
9589754,-891,348,2846
9598105,-825,189,2739
9606446,-788,80,2636
9614795,-790,154,2299
9623139,-679,185,1901
9631481,-508,107,1525
9639823,-315,-25,1229
9648175,-178,-148,1024
9656516,-96,-296,920
9664858,-55,-409,809
9673208,4,-477,684
9681549,65,-496,553
9689900,161,-519,449
9698243,270,-436,258
9706586,362,-390,97
9714929,404,-390,-24
9723280,285,-411,-63
9731623,110,-504,38
9739966,-57,-569,175
9748309,-291,-576,538
9756660,-428,-541,929
9765003,-550,-504,1265
9773346,-749,-428,1655
9781689,-952,-346,2192
9790039,-1163,-264,2703
9798382,-1296,-215,3384
9806725,-1347,-40,3987
9815075,-1233,222,4238
9823417,-1099,542,4283
9831759,-1075,662,4091
9840103,-1269,636,3702
9848453,-1279,568,3515
9856795,-1137,104,3621
9865138,-1161,236,3533
9873489,-1076,432,3481
9881831,-894,257,3303
9890172,-807,315,3047
9898522,-794,403,2701
9906864,-709,318,2303
9915215,-595,195,1920
9923556,-523,81,1591
9931898,-453,-21,1317
9940247,-367,-195,1105
9948590,-275,-314,952
9956933,-219,-427,825
9965283,-189,-482,733
9973626,-55,-475,620
9981968,106,-461,475
9990319,214,-408,291
9998663,238,-394,195
10007007,205,-421,216
10015350,185,-500,303
10023692,143,-532,457
10032043,103,-527,632
10040386,29,-515,836
10048729,-111,-487,1065
10057073,-223,-432,1369
10065424,-350,-353,1649
10073766,-503,-247,1897
10082109,-656,-172,2170
10090459,-759,-86,2516
10098801,-882,-168,2877
10107143,-1106,-20,3080
10115492,-1192,122,3176
10123835,-1200,115,3332
10132178,-1214,56,3384
10140529,-1225,39,3410
10148871,-1200,53,3376
10157213,-1134,120,3280
10165564,-1106,229,3216
10173907,-1060,275,3175
10182249,-978,291,3057
10190599,-911,289,2904
10198943,-847,259,2681
10207284,-790,178,2468
10215635,-729,98,2271
10223978,-673,57,2023
10232320,-596,-23,1795
10240662,-534,-129,1585
10249013,-490,-211,1404
10257356,-410,-277,1245
10265697,-284,-359,1100
10274046,-161,-405,934
10282389,-39,-403,788
10290739,67,-412,632
10299082,163,-427,476
10307423,176,-397,412
10315774,131,-400,449
10324118,89,-435,537
10332459,-8,-464,675
10340803,-115,-393,841
10349154,-196,-411,1124
10357497,-326,-423,1400
10365840,-461,-399,1701
10374183,-566,-316,2016
10382534,-658,-220,2351
10390877,-750,-110,2704
10399219,-853,63,2957
10407562,-893,240,3061
10415913,-864,329,3156
10424254,-834,235,3221
10432597,-870,226,3209
10440948,-912,287,3168
10449290,-951,333,3186
10457633,-924,249,3272
10465984,-909,207,3299
10474326,-834,235,3262
10482669,-811,283,3254
10491019,-819,285,3178
10499359,-770,252,3011
10507709,-693,246,2812
10516052,-601,246,2617
10524394,-528,260,2339
10532743,-485,280,2004
10541085,-406,188,1659
10549428,-282,53,1413
10557778,-189,-112,1295
10566121,-131,-264,1228
10574463,-37,-367,1045
10582806,78,-394,828
10591158,179,-479,687
10599500,253,-518,574
10607843,338,-505,420
10616186,402,-404,212
10624537,480,-378,80
10632881,508,-381,30
10641224,448,-358,44
10649573,272,-381,167
10657915,92,-467,464
10666258,-49,-518,806
10674608,-236,-500,1182
10682952,-454,-516,1578
10691294,-752,-412,1979
10699637,-914,-334,2311
10707988,-974,-178,2770
10716330,-982,12,3314
10724672,-1023,227,3741
10733022,-1083,395,4046
10741364,-1045,448,4077
10749706,-930,369,3932
10758058,-942,652,3764
10766400,-795,11,3752
10774743,-941,535,3402
10783086,-769,585,3343
10791436,-704,237,3247
10799778,-636,226,2954
10808121,-597,364,2675
10816471,-508,300,2462
10824812,-467,221,2330
10833156,-412,164,2136
10841506,-398,152,1894
10849848,-388,112,1643
10858191,-355,-8,1410
10866541,-304,-179,1259
10874884,-242,-318,1121
10883227,-161,-358,1001
10891578,-31,-438,847
10899921,80,-412,664
10908262,185,-348,475
10916612,308,-348,357
10924955,374,-320,369
10933298,390,-289,443
10941640,387,-273,540
10949992,339,-197,663
10958334,231,-164,882
10966677,109,-242,1298
10975028,3,-365,1765
10983371,-178,-255,2141
10991714,-406,-108,2437
11000055,-609,40,2637
11008407,-726,48,2832
11016749,-788,86,3051
11025092,-759,6,3274
11033442,-754,106,3365
11041788,-772,174,3498
11050130,-726,187,3544
11058473,-682,269,3537
11066822,-653,319,3499
11075164,-684,337,3472
11083506,-690,312,3443
11091856,-722,288,3365
11100199,-716,182,3277
11108541,-645,165,3003
11116892,-565,224,2630
11125234,-459,237,2271
11133576,-372,254,2010
11141927,-317,202,1844
11150269,-258,75,1711
11158611,-225,-92,1558
11166962,-169,-194,1341
11175304,-118,-290,1100
11183647,-22,-390,893
11191990,121,-510,738
11200342,228,-539,578
11208685,332,-504,359
11217028,427,-467,141
11225377,475,-464,30
11233720,393,-503,78
11242063,318,-536,172
11250413,291,-587,303
11258755,246,-553,486
11267098,213,-479,670
11275440,137,-421,859
11283791,-79,-319,1125
11292134,-273,-228,1447
11300476,-479,-199,1823
11308825,-676,-132,2243
11317167,-804,-92,2696
11325517,-926,-44,3170
11333859,-1083,20,3643
11342202,-1166,148,3945
11350552,-1141,296,4033
11358896,-1045,379,3880
11367238,-985,465,3688
11375580,-868,87,3653
11383931,-1050,422,3443
11392274,-916,421,3421
11400623,-866,102,3425
11408965,-827,115,3234
11417308,-782,253,3018
11425658,-692,234,2863
11434001,-613,200,2676
11442343,-569,246,2378
11450685,-526,260,2059
11459035,-445,211,1783
11467378,-414,117,1612
11475721,-320,-49,1477
11484071,-223,-220,1341
11492414,-137,-262,1176
11500756,-6,-307,981
11509100,146,-327,769
11517449,286,-327,556
11525792,402,-314,314
11534136,450,-356,123
11542487,367,-406,76
11550830,227,-452,122
11559172,162,-469,181
11567522,134,-458,392
11575863,59,-509,768
11584205,-90,-541,1125
11592556,-305,-460,1505
11600899,-456,-327,1911
11609241,-485,-241,2315
11617592,-529,-87,2740
11625935,-552,47,3177
11634277,-712,148,3636
11642627,-865,202,3886
11650969,-988,276,3907
11659311,-976,262,3914
11667661,-894,232,3880
11676003,-872,402,3730
11684345,-843,208,3610
11692695,-830,414,3471
11701037,-739,455,3460
11709387,-703,286,3417
11717728,-665,344,3201
11726072,-605,408,2869
11734423,-478,386,2456
11742765,-347,281,2129
11751109,-309,148,1849
11759451,-318,37,1626
11767802,-267,-62,1419
11776146,-175,-239,1253
11784489,-107,-317,1061
11792832,-18,-416,897
11801175,80,-513,794
11809525,188,-534,682
11817868,311,-493,535
11826217,456,-483,328
11834558,585,-460,137
11842901,646,-466,23
11851251,644,-442,-34
11859592,604,-411,-61
11867935,484,-419,-33
11876284,237,-419,165
11884627,40,-515,460
11892969,-182,-620,809
11901319,-389,-724,1302
11909660,-606,-739,1814
11918011,-800,-572,2184
11926353,-966,-390,2473
11934695,-1080,-165,2811
11943046,-1076,-71,3229
11951388,-988,137,3477
11959736,-849,273,3589
11968078,-848,366,3673
11976420,-936,312,3753
11984770,-990,228,3741
11993113,-998,201,3652
12001455,-986,125,3519
12009806,-969,254,3267
12018149,-885,428,3307
12026491,-798,86,3414
12034842,-814,195,3216
12043185,-793,332,3042
12051527,-710,252,2837
12059870,-647,235,2595
12068222,-549,253,2287
12076565,-470,200,2027
12084908,-390,107,1846
12093252,-304,13,1680
12101595,-226,-77,1520
12109946,-147,-143,1367
12118289,-45,-218,1217
12126631,38,-243,1071
12134974,92,-301,979
12143324,168,-377,886
12151667,269,-366,745
12160010,385,-332,543
12168360,450,-295,352
12176702,481,-320,256
12185045,463,-343,186
12193396,395,-336,161
12201738,271,-311,154
12210080,119,-314,254
12218431,-59,-360,476
12226774,-279,-451,768
12235117,-535,-411,1072
12243467,-704,-398,1463
12251809,-757,-345,1838
12260152,-868,-214,2229
12268495,-1011,-104,2637
12276845,-1158,0,3139
12285189,-1285,21,3695
