# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[LSB],acc_y[LSB],acc_z[LSB]
11416360,-39,-82,2060
11424702,-37,-79,2058
11433053,-37,-81,2057
11441396,-37,-81,2058
11449737,-37,-79,2060
11458087,-36,-80,2059
11466430,-36,-79,2055
11474772,-36,-80,2056
11483123,-38,-78,2058
11491465,-39,-81,2056
11499807,-38,-81,2058
11508157,-39,-81,2060
11516498,-38,-81,2061
11524840,-38,-82,2060
11533191,-36,-82,2057
11541534,-37,-82,2059
11549876,-36,-80,2062
11558226,-36,-81,2058
11566567,-37,-80,2057
11574909,-35,-81,2058
11583253,-36,-80,2060
11591603,-38,-81,2058
11599946,-37,-83,2057
11608288,-37,-82,2059
11616632,-38,-80,2060
11624984,-38,-81,2059
11633326,-38,-80,2061
11641668,-37,-80,2060
11650011,-36,-82,2058
11658362,-36,-82,2056
11666705,-38,-81,2057
11675047,-39,-80,2058
11683397,-37,-81,2059
11691738,-38,-83,2059
11700081,-38,-80,2060
11708431,-39,-82,2058
11716773,-38,-82,2059
11725115,-38,-80,2059
11733465,-38,-81,2058
11741806,-37,-82,2060
11750156,-36,-79,2062
11758498,-37,-79,2061
11766840,-38,-81,2058
11775183,-39,-82,2057
11783534,-37,-80,2058
11791876,-38,-81,2057
11800219,-38,-82,2056
11808570,-40,-81,2059
11816912,-39,-81,2060
11825256,-39,-82,2060
11833599,-38,-82,2061
11841941,-37,-80,2060
11850293,-38,-80,2059
11858635,-39,-82,2058
11866979,-38,-80,2060
11875321,-37,-80,2058
11883672,-38,-82,2059
11892016,-38,-81,2055
11900359,-37,-81,2055
11908700,-37,-81,2059
11917051,-35,-80,2058
11925394,-38,-81,2059
11933737,-37,-82,2060
11942080,-37,-81,2061
11950431,-38,-80,2061
11958772,-39,-81,2058
11967114,-38,-83,2057
11975463,-38,-81,2060
11983805,-39,-83,2059
11992148,-39,-82,2056
12000498,-37,-82,2057
12008840,-38,-79,2058
12017183,-37,-80,2061
12025534,-37,-82,2058
12033877,-35,-79,2059
12042220,-37,-80,2059
12050569,-38,-81,2061
12058912,-37,-82,2059
12067254,-39,-82,2059
12075604,-38,-81,2060
12083947,-39,-82,2057
12092289,-37,-83,2058
12100632,-38,-82,2057
12108982,-36,-82,2056
12117324,-36,-80,2060
12125667,-36,-81,2059
12134010,-36,-82,2058
12142360,-36,-80,2059
12150703,-37,-79,2057
12159046,-38,-81,2058
12167396,-40,-82,2060
12175738,-39,-81,2060
12184081,-40,-81,2060
12192423,-39,-81,2059
12200774,-38,-81,2058
12209117,-38,-81,2062
12217460,-38,-79,2061
12225803,-37,-81,2056
12234154,-36,-81,2057
12242497,-36,-79,2059
12250840,-39,-81,2061
12259183,-39,-83,2061
12267533,-39,-80,2061
12275874,-39,-82,2056
12284217,-40,-82,2056
12292566,-39,-80,2057
12300909,-38,-79,2058
12309251,-37,-79,2059
12317600,-36,-79,2059
12325942,-35,-79,2058
12334293,-37,-80,2058
12342634,-36,-79,2059
12350974,-36,-81,2060
12359325,-38,-82,2058
12367667,-38,-82,2059
12376010,-39,-82,2056
12384361,-39,-83,2057
12392703,-39,-81,2060
12401046,-38,-80,2060
12409388,-38,-81,2059
12417739,-37,-81,2059
12426082,-35,-80,2057
12434424,-35,-81,2057
12442775,-35,-79,2059
12451118,-37,-78,2060
12459461,-38,-80,2056
12467804,-38,-84,2057
12476147,-39,-82,2060
12484497,-38,-81,2060
12492840,-38,-83,2055
12501184,-38,-84,2057
12509526,-37,-79,2059
12517876,-37,-80,2059
12526219,-37,-81,2056
12534562,-37,-79,2059
12542912,-37,-77,2060
12551255,-36,-79,2062
12559596,-39,-81,2060
12567939,-38,-81,2059
12576290,-39,-82,2058
12584633,-39,-81,2058
12592975,-39,-82,2059
12601325,-38,-81,2057
12609667,-38,-82,2057
12618010,-36,-82,2059
12626353,-36,-80,2059
12634704,-36,-82,2058
12643045,-36,-80,2060
12651389,-38,-81,2062
12659740,-36,-80,2061
12668082,-37,-81,2060
12676426,-38,-81,2058
12684768,-38,-79,2056
12693119,-39,-80,2056
12701460,-39,-81,2058
12709803,-39,-81,2059
12718147,-37,-82,2062
12726497,-36,-82,2061
12734839,-37,-83,2060
12743182,-35,-82,2058
12751525,-35,-82,2058
12759877,-37,-82,2056
12768219,-36,-80,2057
12776562,-36,-80,2056
12784905,-36,-82,2059
12793255,-38,-81,2059
12801597,-38,-79,2057
12809940,-40,-82,2056
12818283,-38,-81,2058
12826634,-38,-81,2059
12834977,-36,-81,2059
12843318,-37,-81,2062
12851668,-35,-79,2061
12860010,-37,-82,2061
12868353,-36,-81,2056
12876700,-37,-83,2056
12885043,-38,-82,2060
12893393,-39,-82,2055
12901735,-41,-83,2048
12910077,-40,-85,2061
12918428,-39,-78,2063
12926770,-38,-77,2062
12935113,-38,-82,2059
12943463,-36,-79,2057
12951804,-35,-76,2063
12960147,-35,-82,2056
12968498,-34,-85,2055
12976839,-36,-80,2057
12985183,-39,-82,2063
12993525,-41,-87,2066
13001876,-42,-80,2058
13010220,-40,-84,2047
13018563,-37,-86,2049
13026906,-39,-80,2062
13035249,-36,-77,2063
13043600,-36,-80,2060
13051943,-36,-79,2060
13060284,-34,-76,2063
13068628,-37,-79,2062
13076979,-35,-80,2056
13085322,-36,-82,2053
13093663,-39,-80,2058
13102007,-38,-81,2059
13110358,-38,-85,2057
13118699,-38,-83,2060
13127042,-36,-81,2058
13135391,-36,-83,2057
13143733,-34,-82,2058
13152083,-35,-77,2062
13160426,-37,-79,2063
13168768,-38,-80,2061
13177111,-39,-79,2058
13185462,-40,-80,2059
13193804,-40,-81,2058
13202148,-40,-81,2057
13210490,-40,-79,2057
13218840,-40,-80,2058
13227182,-38,-80,2058
13235525,-37,-80,2056
13243874,-35,-80,2058
13252216,-35,-80,2060
13260559,-37,-81,2060
13268910,-38,-82,2057
13277253,-38,-82,2055
13285595,-39,-82,2058
13293944,-39,-82,2062
13302287,-39,-81,2062
13310628,-37,-81,2059
13318979,-36,-82,2057
13327323,-34,-82,2058
13335664,-36,-79,2058
13344008,-36,-82,2059
13352358,-37,-81,2060
13360700,-37,-80,2059
13369043,-38,-80,2058
13377386,-38,-84,2056
13385736,-38,-81,2059
13394078,-37,-81,2060
13402420,-37,-81,2054
13410769,-38,-81,2056
13419112,-37,-79,2059
13427454,-38,-80,2060
13435805,-38,-80,2059
13444147,-37,-82,2062
13452490,-38,-79,2060
13460840,-38,-82,2060
13469183,-39,-81,2056
13477524,-39,-77,2062
13485874,-40,-81,2062
13494217,-39,-82,2054
13502558,-38,-78,2056
13510909,-36,-81,2058
13519252,-35,-84,2058
13527594,-37,-79,2059
13535937,-35,-80,2060
13544289,-35,-81,2060
13552631,-37,-80,2059
13560974,-37,-81,2059
13569316,-39,-81,2059
13577666,-40,-82,2061
13586009,-42,-80,2058
13594352,-40,-82,2059
13602703,-39,-79,2057
13611044,-39,-80,2059
13619388,-37,-82,2058
13627729,-36,-79,2059
13636080,-35,-80,2060
13644423,-36,-81,2059
13652766,-36,-81,2060
13661109,-37,-80,2058
13669460,-37,-82,2059
13677803,-38,-82,2059
13686146,-38,-80,2059
13694488,-39,-81,2058
13702838,-39,-81,2057
13711179,-39,-83,2061
13719522,-36,-79,2061
13727871,-36,-82,2058
13736213,-36,-80,2054
13744564,-38,-79,2059
13752906,-38,-81,2058
13761249,-38,-82,2061
13769592,-38,-80,2062
13777942,-38,-80,2059
13786285,-37,-84,2058
13794627,-38,-83,2065
13802976,-36,-80,2062
13811319,-35,-82,2054
13819661,-35,-82,2054
13828011,-36,-77,2057
13836355,-37,-78,2056
13844697,-38,-81,2054
13853040,-38,-79,2059
13861390,-41,-80,2065
13869733,-38,-80,2060
13878075,-39,-79,2059
13886425,-38,-79,2059
13894768,-39,-78,2059
13903110,-39,-80,2059
13911453,-38,-81,2059
13919804,-38,-82,2061
13928146,-37,-82,2058
13936489,-37,-84,2058
13944832,-38,-84,2056
13953183,-37,-82,2053
13961526,-36,-82,2054
13969868,-37,-79,2061
13978211,-37,-80,2061
13986562,-39,-80,2057
13994903,-38,-80,2057
14003245,-38,-81,2062
14011595,-39,-80,2060
14019938,-40,-82,2057
14028287,-40,-83,2057
14036629,-40,-79,2061
14044971,-39,-81,2058
14053314,-38,-82,2057
14061664,-37,-80,2059
14070006,-35,-81,2056
14078349,-36,-84,2058
14086700,-34,-82,2060
14095041,-37,-80,2060
14103384,-36,-80,2057
14111735,-38,-82,2058
14120077,-39,-80,2060
14128420,-38,-80,2059
14136763,-38,-82,2059
14145113,-39,-81,2058
14153457,-38,-81,2057
14161799,-38,-81,2058
14170142,-36,-79,2059
14178493,-35,-79,2058
14186836,-38,-81,2059
14195179,-36,-81,2060
14203522,-38,-80,2058
14211873,-37,-82,2059
14220215,-38,-82,2057
14228555,-39,-83,2059
14236906,-39,-80,2061
14245249,-38,-80,2060
14253591,-38,-81,2060
14261934,-37,-78,2060
14270284,-36,-80,2059
14278626,-35,-81,2056
14286976,-36,-81,2056
14295320,-38,-80,2059
14303662,-38,-80,2061
14312004,-38,-82,2058
14320355,-38,-83,2058
14328697,-40,-81,2058
14337040,-40,-81,2062
14345383,-38,-82,2060
14353731,-37,-79,2056
14362073,-38,-79,2060
14370423,-36,-81,2062
14378765,-38,-80,2062
14387107,-38,-78,2056
14395458,-37,-84,2054
14403801,-38,-81,2055
14412143,-39,-79,2058
14420487,-38,-84,2056
14428838,-37,-81,2061
14437181,-38,-79,2064
14445524,-36,-82,2062
14453866,-36,-80,2059
14462210,-37,-82,2058
14470562,-36,-81,2058
14478904,-38,-80,2055
14487246,-38,-83,2054
14495589,-39,-82,2058
14503941,-38,-82,2064
14512284,-38,-78,2064
14520628,-36,-80,2059
14528969,-36,-77,2053
14537313,-35,-81,2051
