A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
149.816 	 999.424 	 -31.72 	-14.14 	 -4.2 	 -15.12 	
25.376 	 1025.29 	 -36.6 	-2.8 	 7.49 	 40.11 	
85.888 	 992.592 	 -47.824 	6.72 	 13.86 	 82.25 	
70.272 	 986.248 	 -42.456 	10.57 	 16.03 	 80.57 	
101.504 	 1006.74 	 -49.776 	4.41 	 13.16 	 24.71 	
138.592 	 905.728 	 -64.904 	-6.86 	 2.31 	 -39.06 	
104.92 	 981.856 	 -28.792 	-13.44 	 -7.35 	 -69.72 	
310.368 	 822.768 	 -24.888 	-9.17 	 -6.72 	 -75.6 	
82.96 	 1017.97 	 -9.272 	7.07 	 16.59 	 -18.27 	
8.296 	 1010.16 	 -50.264 	16.52 	 18.83 	 47.74 	
88.816 	 1086.29 	 -58.072 	20.02 	 22.05 	 94.78 	
90.28 	 1036.51 	 -83.448 	14.14 	 25.83 	 72.8 	
115.168 	 1041.39 	 -75.152 	2.73 	 20.86 	 6.3 	
155.184 	 992.104 	 -64.904 	-10.57 	 11.27 	 -39.41 	
115.168 	 1006.74 	 -53.192 	-24.78 	 4.13 	 -77.91 	
44.408 	 965.264 	 -25.864 	-37.59 	 -0.42 	 -124.74 	
126.392 	 956.968 	 -6.344 	-40.74 	 -4.34 	 -142.24 	
10.736 	 969.168 	 39.528 	-30.45 	 3.5 	 -88.97 	
-254.248 	 946.232 	 81.496 	-9.31 	 9.94 	 -13.58 	
-236.68 	 972.584 	 55.144 	8.96 	 3.71 	 14.91 	
-156.16 	 1036.02 	 47.336 	16.03 	 -2.17 	 36.26 	
-117.12 	 1021.38 	 36.112 	15.12 	 -8.54 	 60.34 	
-52.216 	 979.416 	 26.352 	14.35 	 -14.63 	 73.92 	
-28.792 	 966.728 	 20.008 	13.65 	 -21.7 	 73.71 	
22.936 	 996.496 	 13.664 	10.64 	 -29.54 	 55.51 	
74.176 	 977.464 	 0.488 	5.81 	 -34.51 	 29.4 	
113.704 	 974.048 	 -8.784 	3.08 	 -36.19 	 7.84 	
122.976 	 976 	 -18.056 	3.71 	 -35.07 	 0.21 	
86.864 	 997.472 	 -17.568 	4.69 	 -34.44 	 5.67 	
105.896 	 1011.14 	 -44.896 	3.57 	 -36.89 	 9.59 	
90.28 	 990.64 	 -40.016 	2.31 	 -41.79 	 10.57 	
