A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
209.84 	 882.792 	 -331.84 	-27.93 	 -230.51 	 42.49 	
239.608 	 911.584 	 -297.192 	-20.16 	 -209.23 	 40.04 	
301.096 	 932.568 	 -272.792 	-14.56 	 -178.99 	 34.37 	
306.464 	 925.248 	 -257.176 	-11.2 	 -143.64 	 25.9 	
323.056 	 959.408 	 -232.776 	-7.21 	 -106.75 	 17.64 	
313.296 	 944.768 	 -219.6 	-3.57 	 -69.44 	 9.38 	
262.056 	 937.448 	 -200.568 	0.84 	 -37.38 	 3.36 	
196.664 	 958.432 	 -203.496 	4.41 	 -12.81 	 -0.7 	
171.288 	 976.976 	 -197.152 	6.02 	 2.59 	 -3.08 	
114.68 	 986.248 	 -181.048 	5.74 	 10.5 	 -2.17 	
66.368 	 970.144 	 -172.752 	3.78 	 9.59 	 0.56 	
-8.784 	 1002.35 	 -137.128 	1.75 	 -2.24 	 7.42 	
-54.656 	 1039.93 	 -129.32 	-4.41 	 -27.86 	 17.29 	
26.84 	 986.248 	 -155.184 	-12.6 	 -56.35 	 25.34 	
184.464 	 936.472 	 -173.728 	-15.47 	 -69.93 	 26.25 	
319.152 	 935.984 	 -190.32 	-12.67 	 -61.04 	 19.39 	
296.216 	 912.56 	 -188.368 	-8.33 	 -37.8 	 9.1 	
425.536 	 951.112 	 -215.696 	-4.55 	 -12.81 	 -2.38 	
558.76 	 884.256 	 -251.808 	2.73 	 37.17 	 -18.06 	
565.592 	 811.544 	 -322.08 	21.42 	 112.28 	 -37.66 	
187.392 	 908.168 	 -330.864 	35.21 	 169.89 	 -54.95 	
-40.016 	 809.104 	 -317.2 	39.69 	 182.42 	 -58.24 	
-709.552 	 1289.3 	 -93.208 	31.57 	 125.51 	 -28.98 	
-908.168 	 1195.6 	 -26.352 	-0.42 	 -18.2 	 15.96 	
-395.768 	 1006.74 	 -186.904 	-29.33 	 -155.89 	 45.08 	
-121.024 	 894.992 	 -315.248 	-40.74 	 -232.68 	 65.52 	
403.576 	 908.168 	 -425.536 	-41.79 	 -250.39 	 74.2 	
961.36 	 757.376 	 -428.952 	-34.86 	 -177.31 	 44.66 	
889.624 	 801.784 	 -365.024 	-9.94 	 -43.61 	 -9.17 	
334.768 	 873.52 	 -265.472 	12.11 	 59.71 	 -35.84 	
409.92 	 911.096 	 -298.168 	26.32 	 106.75 	 -36.89 	
398.208 	 891.576 	 -394.792 	37.8 	 166.67 	 -46.34 	
22.448 	 909.632 	 -389.424 	41.37 	 203.7 	 -53.2 	
-605.608 	 1122.4 	 -192.272 	35.91 	 166.18 	 -32.9 	
-1070.18 	 1251.72 	 2.928 	3.92 	 24.92 	 4.2 	
-503.128 	 1038.46 	 -182.024 	-26.95 	 -136.36 	 35.63 	
-139.08 	 913.536 	 -330.376 	-40.46 	 -228.27 	 58.94 	
457.744 	 915.976 	 -403.088 	-42.91 	 -244.51 	 63.84 	
958.92 	 722.24 	 -380.64 	-26.6 	 -160.3 	 32.13 	
756.888 	 832.528 	 -322.08 	2.66 	 -23.38 	 -16.03 	
304.512 	 920.856 	 -312.32 	23.52 	 68.6 	 -38.57 	
238.144 	 971.608 	 -327.448 	28.84 	 107.38 	 -38.22 	
330.864 	 894.016 	 -435.296 	28.56 	 149.38 	 -44.73 	
146.888 	 934.032 	 -413.824 	29.82 	 176.12 	 -46.76 	
-113.216 	 972.584 	 -377.224 	28.98 	 185.36 	 -48.37 	
-164.456 	 954.528 	 -292.8 	18.06 	 150.99 	 -42.91 	
-268.888 	 1056.52 	 -194.224 	9.38 	 100.59 	 -21.77 	
-59.536 	 971.12 	 -215.696 	0.14 	 58.24 	 -13.09 	
-137.128 	 974.536 	 -176.656 	-3.01 	 25.83 	 -12.88 	
49.288 	 973.56 	 -194.224 	-3.5 	 7.56 	 -8.96 	
86.376 	 968.192 	 -200.568 	-3.71 	 7.35 	 -6.86 	
144.448 	 951.6 	 -226.92 	-3.08 	 18.27 	 -8.33 	
190.32 	 963.8 	 -235.216 	-0.77 	 35.14 	 -9.24 	
228.384 	 927.688 	 -263.52 	2.73 	 60.69 	 -11.76 	
40.992 	 955.992 	 -233.264 	6.93 	 74.83 	 -14.7 	
38.064 	 961.36 	 -238.632 	8.05 	 73.92 	 -15.4 	
-65.88 	 1004.79 	 -198.128 	5.95 	 58.17 	 -10.71 	
-11.224 	 987.224 	 -203.008 	1.47 	 37.45 	 -6.44 	
-6.344 	 965.752 	 -194.224 	-0.28 	 17.57 	 -3.85 	
30.256 	 974.536 	 -198.616 	-0.91 	 4.55 	 -2.73 	
57.584 	 962.824 	 -196.176 	-1.26 	 -3.78 	 -1.19 	
17.568 	 967.704 	 -195.688 	-1.4 	 -8.61 	 1.33 	
-69.296 	 988.688 	 -202.032 	-1.96 	 -20.23 	 5.88 	
-327.936 	 1071.16 	 -170.312 	-8.82 	 -58.17 	 19.53 	
-284.016 	 1078.48 	 -212.28 	-25.13 	 -122.57 	 35.42 	
166.896 	 925.248 	 -276.208 	-38.08 	 -163.66 	 41.37 	
953.064 	 703.696 	 -344.04 	-22.05 	 -108.57 	 28.7 	
740.296 	 799.344 	 -295.24 	7.84 	 20.51 	 -6.72 	
370.392 	 884.744 	 -329.888 	30.38 	 119.07 	 -37.1 	
261.08 	 954.04 	 -377.224 	34.44 	 165.48 	 -49.63 	
77.592 	 903.288 	 -445.544 	35.7 	 200.9 	 -51.03 	
-173.24 	 987.712 	 -348.92 	34.37 	 191.66 	 -41.86 	
