STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
76 	 -202 	 998 	
52 	 -188 	 995 	
78 	 -222 	 964 	
62 	 -208 	 982 	
71 	 -215 	 1003 	
65 	 -197 	 1027 	
54 	 -244 	 966 	
33 	 -221 	 998 	
36 	 -237 	 990 	
39 	 -221 	 997 	
40 	 -222 	 978 	
7 	 -224 	 977 	
18 	 -220 	 996 	
61 	 -221 	 999 	
44 	 -212 	 1003 	
-17 	 -219 	 991 	
-14 	 -233 	 987 	
7 	 -215 	 1012 	
-16 	 -222 	 973 	
-56 	 -220 	 976 	
-6 	 -218 	 985 	
-1 	 -207 	 1010 	
-43 	 -229 	 962 	
-110 	 -245 	 950 	
-42 	 -234 	 991 	
-6 	 -217 	 1027 	
-88 	 -247 	 982 	
-68 	 -250 	 987 	
-70 	 -233 	 1013 	
-72 	 -240 	 997 	
-83 	 -246 	 972 	
-98 	 -243 	 966 	
-79 	 -230 	 986 	
-66 	 -235 	 981 	
-84 	 -238 	 975 	
-98 	 -237 	 979 	
-89 	 -244 	 974 	
-93 	 -246 	 980 	
-99 	 -242 	 984 	
-132 	 -263 	 965 	
-138 	 -273 	 959 	
-109 	 -247 	 1018 	
-141 	 -278 	 963 	
-139 	 -261 	 974 	
-122 	 -265 	 971 	
-126 	 -272 	 959 	
-139 	 -288 	 945 	
-138 	 -259 	 984 	
-147 	 -310 	 952 	
-125 	 -275 	 982 	
-139 	 -287 	 965 	
-138 	 -281 	 976 	
-146 	 -298 	 960 	
-154 	 -296 	 965 	
-161 	 -296 	 955 	
-147 	 -299 	 950 	
-132 	 -282 	 975 	
-153 	 -305 	 955 	
-146 	 -311 	 956 	
-149 	 -296 	 969 	
-155 	 -311 	 947 	
-162 	 -313 	 953 	
-153 	 -308 	 962 	
-152 	 -304 	 962 	
-163 	 -328 	 937 	
-161 	 -297 	 972 	
-156 	 -321 	 940 	
-153 	 -320 	 939 	
-173 	 -317 	 953 	
-171 	 -325 	 954 	
-190 	 -318 	 957 	
-168 	 -309 	 967 	
-176 	 -320 	 941 	
-195 	 -306 	 942 	
-203 	 -311 	 951 	
-205 	 -313 	 948 	
-199 	 -289 	 978 	
-217 	 -314 	 930 	
-242 	 -298 	 938 	
-236 	 -299 	 930 	
-223 	 -279 	 953 	
-221 	 -291 	 936 	
-249 	 -304 	 915 	
-238 	 -287 	 941 	
-246 	 -300 	 936 	
-256 	 -292 	 948 	
-248 	 -302 	 933 	
-247 	 -283 	 953 	
-241 	 -298 	 940 	
-251 	 -287 	 955 	
-265 	 -299 	 937 	
-259 	 -283 	 952 	
-252 	 -299 	 924 	
-248 	 -283 	 928 	
-247 	 -276 	 937 	
-269 	 -302 	 927 	
-272 	 -264 	 966 	
-268 	 -294 	 930 	
-272 	 -290 	 917 	
-263 	 -264 	 953 	
-271 	 -288 	 922 	
-288 	 -270 	 951 	
-286 	 -294 	 933 	
-295 	 -287 	 929 	
-298 	 -274 	 948 	
-270 	 -279 	 936 	
-293 	 -269 	 938 	
-281 	 -288 	 915 	
-296 	 -269 	 939 	
-285 	 -290 	 919 	
-314 	 -264 	 954 	
-309 	 -307 	 904 	
-310 	 -254 	 946 	
-296 	 -273 	 927 	
-301 	 -260 	 935 	
-308 	 -244 	 949 	
-289 	 -287 	 898 	
-323 	 -235 	 942 	
-325 	 -282 	 904 	
-315 	 -260 	 922 	
-329 	 -240 	 951 	
-360 	 -265 	 921 	
-305 	 -268 	 923 	
-300 	 -259 	 918 	
-343 	 -267 	 912 	
-342 	 -265 	 930 	
-321 	 -246 	 948 	
-344 	 -246 	 931 	
-333 	 -255 	 920 	
-323 	 -252 	 913 	
-327 	 -242 	 924 	
-336 	 -250 	 920 	
-336 	 -248 	 916 	
-346 	 -230 	 938 	
-341 	 -249 	 921 	
-338 	 -236 	 935 	
-345 	 -234 	 926 	
-359 	 -241 	 924 	
-332 	 -249 	 912 	
-337 	 -219 	 944 	
-350 	 -252 	 903 	
-360 	 -234 	 932 	
-352 	 -244 	 927 	
-356 	 -238 	 918 	
-348 	 -230 	 933 	
-356 	 -245 	 912 	
