STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-81 	 137 	 924 	
-82 	 152 	 1022 	
-41 	 160 	 1062 	
-60 	 181 	 1092 	
-90 	 188 	 1094 	
-85 	 194 	 1109 	
-90 	 198 	 1102 	
-56 	 176 	 1056 	
-49 	 183 	 1022 	
-40 	 167 	 946 	
-72 	 169 	 908 	
-77 	 169 	 880 	
-58 	 164 	 883 	
-100 	 171 	 912 	
-83 	 150 	 884 	
-38 	 136 	 936 	
-77 	 148 	 995 	
-30 	 137 	 1021 	
-94 	 172 	 1107 	
-141 	 166 	 1107 	
-96 	 192 	 1109 	
-120 	 196 	 1076 	
-67 	 194 	 1068 	
-53 	 182 	 1022 	
-77 	 169 	 972 	
-58 	 167 	 972 	
-109 	 143 	 924 	
-97 	 147 	 910 	
-87 	 147 	 908 	
-106 	 134 	 904 	
-63 	 133 	 930 	
-83 	 143 	 941 	
-111 	 151 	 993 	
-96 	 142 	 1061 	
-146 	 156 	 1077 	
-124 	 186 	 1104 	
-92 	 178 	 1108 	
-96 	 197 	 1116 	
-65 	 184 	 1043 	
-26 	 186 	 977 	
-58 	 165 	 915 	
-54 	 175 	 886 	
-60 	 163 	 869 	
-59 	 160 	 891 	
-54 	 160 	 910 	
-44 	 138 	 911 	
-55 	 162 	 974 	
-66 	 158 	 989 	
-49 	 169 	 1037 	
-102 	 173 	 1086 	
-99 	 159 	 1111 	
-84 	 178 	 1146 	
-91 	 163 	 1091 	
-90 	 158 	 1032 	
-80 	 149 	 982 	
-72 	 145 	 934 	
-94 	 137 	 917 	
-63 	 127 	 911 	
-58 	 125 	 910 	
-52 	 130 	 944 	
-44 	 126 	 960 	
-83 	 134 	 980 	
-73 	 165 	 1047 	
-62 	 179 	 1078 	
-62 	 179 	 1079 	
-73 	 176 	 1099 	
-60 	 179 	 1090 	
-47 	 166 	 1053 	
-73 	 172 	 1039 	
-51 	 154 	 971 	
-59 	 157 	 932 	
-40 	 154 	 907 	
-53 	 147 	 912 	
-80 	 151 	 919 	
-70 	 153 	 900 	
-77 	 147 	 904 	
-46 	 163 	 954 	
-75 	 135 	 967 	
-88 	 142 	 1008 	
-63 	 136 	 1068 	
-66 	 155 	 1125 	
-78 	 147 	 1133 	
-104 	 162 	 1127 	
-91 	 146 	 1051 	
-69 	 149 	 1005 	
-56 	 147 	 967 	
-42 	 145 	 928 	
-56 	 132 	 910 	
-34 	 131 	 908 	
-53 	 137 	 921 	
-68 	 141 	 963 	
-55 	 135 	 985 	
-94 	 145 	 1001 	
-66 	 138 	 1009 	
-94 	 141 	 1030 	
-81 	 129 	 1038 	
-66 	 139 	 1093 	
-94 	 146 	 1108 	
-75 	 137 	 1055 	
-74 	 158 	 1040 	
-50 	 145 	 992 	
-19 	 136 	 939 	
-60 	 146 	 941 	
-35 	 131 	 923 	
-70 	 141 	 923 	
-60 	 135 	 919 	
-57 	 133 	 944 	
-60 	 136 	 1001 	
