STEVAL-MKI217V1 (LSM6DSOX+LIS2MDL)   

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	M_X [mG] 	 M_Y [mG] 	 M_Z [mG] 	
-1 	 7 	 1000 	-114 	 -273 	 -324 	
-4 	 8 	 1007 	-114 	 -273 	 -324 	
-5 	 10 	 1003 	-109 	 -280 	 -283 	
-5 	 6 	 1004 	-99 	 -279 	 -237 	
-4 	 6 	 1006 	-88 	 -277 	 -234 	
-8 	 4 	 1011 	-75 	 -276 	 -208 	
-5 	 11 	 1005 	-75 	 -276 	 -208 	
-7 	 14 	 1002 	-69 	 -292 	 -211 	
-8 	 8 	 1006 	-55 	 -306 	 -204 	
-5 	 9 	 1004 	-58 	 -331 	 -234 	
-7 	 6 	 1009 	-31 	 -367 	 -283 	
-4 	 6 	 1005 	-28 	 -411 	 -393 	
-9 	 7 	 1006 	-28 	 -411 	 -393 	
-6 	 4 	 1006 	-76 	 -421 	 -510 	
