STEVAL-MKI217V1 (LSM6DSOX+LIS2MDL)   

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	M_X [mG] 	 M_Y [mG] 	 M_Z [mG] 	
-48 	 98 	 987 	-61 	 -264 	 -168 	
-83 	 28 	 1043 	-42 	 -262 	 -175 	
-99 	 68 	 971 	-33 	 -265 	 -166 	
-66 	 56 	 1011 	-33 	 -265 	 -166 	
-68 	 15 	 956 	-34 	 -273 	 -174 	
-68 	 75 	 1043 	-25 	 -277 	 -186 	
-96 	 242 	 1040 	-24 	 -291 	 -178 	
-81 	 -5 	 1037 	-28 	 -279 	 -178 	
-17 	 134 	 1076 	-31 	 -258 	 -181 	
-184 	 110 	 916 	-31 	 -258 	 -181 	
-130 	 148 	 912 	-45 	 -225 	 -178 	
-225 	 158 	 990 	-73 	 -193 	 -183 	
-47 	 153 	 1017 	-52 	 -171 	 -174 	
-83 	 142 	 970 	-66 	 -156 	 -166 	
-1 	 -14 	 997 	-66 	 -156 	 -166 	
-269 	 197 	 975 	-67 	 -139 	 -169 	
-38 	 83 	 982 	-72 	 -126 	 -174 	
-249 	 141 	 929 	-58 	 -93 	 -157 	
-241 	 174 	 934 	-48 	 -54 	 -166 	
-328 	 121 	 915 	-48 	 -54 	 -166 	
-249 	 148 	 939 	-4 	 -37 	 -163 	
-364 	 149 	 941 	12 	 -4 	 -166 	
-317 	 103 	 935 	42 	 0 	 -171 	
-383 	 66 	 929 	85 	 10 	 -163 	
-495 	 179 	 1012 	85 	 10 	 -163 	
-503 	 131 	 883 	96 	 22 	 -157 	
-438 	 -38 	 925 	99 	 15 	 -162 	
-480 	 37 	 910 	109 	 19 	 -163 	
-402 	 -54 	 934 	114 	 28 	 -163 	
-483 	 46 	 873 	144 	 33 	 -156 	
-538 	 71 	 863 	144 	 33 	 -156 	
-506 	 -6 	 922 	153 	 25 	 -153 	
-440 	 -73 	 926 	154 	 22 	 -162 	
-460 	 -5 	 901 	163 	 7 	 -165 	
-399 	 -82 	 895 	151 	 -13 	 -178 	
-454 	 -105 	 913 	151 	 -13 	 -178 	
-370 	 -128 	 936 	157 	 -15 	 -181 	
-385 	 -99 	 977 	147 	 -30 	 -177 	
-303 	 -189 	 881 	127 	 -40 	 -189 	
-245 	 -260 	 743 	123 	 -46 	 -178 	
-364 	 -179 	 870 	123 	 -46 	 -178 	
-374 	 -200 	 964 	105 	 -58 	 -189 	
-361 	 -162 	 927 	109 	 -66 	 -190 	
-406 	 -181 	 861 	141 	 -60 	 -193 	
-566 	 -167 	 771 	166 	 -51 	 -186 	
-469 	 -224 	 863 	166 	 -51 	 -186 	
-575 	 -150 	 822 	207 	 -58 	 -178 	
-542 	 -212 	 854 	214 	 -43 	 -175 	
-563 	 -145 	 870 	240 	 -58 	 -163 	
-587 	 -254 	 802 	244 	 -46 	 -171 	
-587 	 -201 	 823 	238 	 -48 	 -168 	
-581 	 -133 	 834 	238 	 -48 	 -168 	
-641 	 -222 	 736 	243 	 -52 	 -159 	
-569 	 -200 	 780 	235 	 -43 	 -159 	
-605 	 -145 	 893 	249 	 -33 	 -153 	
-691 	 -11 	 822 	276 	 -33 	 -142 	
-637 	 -126 	 726 	276 	 -33 	 -142 	
-612 	 -129 	 836 	286 	 -19 	 -132 	
-600 	 -145 	 888 	262 	 -6 	 -135 	
-486 	 14 	 885 	235 	 12 	 -154 	
-413 	 -184 	 922 	183 	 9 	 -165 	
-245 	 -67 	 911 	183 	 9 	 -165 	
-214 	 -26 	 977 	142 	 18 	 -165 	
-214 	 -61 	 963 	103 	 4 	 -171 	
-109 	 -20 	 1038 	69 	 -1 	 -169 	
73 	 -55 	 977 	40 	 10 	 -166 	
110 	 -6 	 980 	40 	 10 	 -166 	
109 	 -96 	 953 	-16 	 9 	 -160 	
221 	 -110 	 919 	-31 	 -6 	 -154 	
132 	 -73 	 991 	-67 	 -9 	 -135 	
330 	 16 	 1037 	-93 	 -3 	 -130 	
280 	 5 	 1043 	-108 	 -1 	 -114 	
310 	 -75 	 907 	-108 	 -1 	 -114 	
446 	 -95 	 898 	-138 	 -3 	 -93 	
485 	 -79 	 878 	-165 	 -18 	 -66 	
455 	 -30 	 881 	-201 	 -1 	 -52 	
656 	 -236 	 873 	-211 	 -28 	 -25 	
552 	 -76 	 752 	-211 	 -28 	 -25 	
645 	 -118 	 781 	-220 	 -27 	 -19 	
452 	 15 	 775 	-234 	 -30 	 -10 	
645 	 -225 	 760 	-255 	 -39 	 -6 	
687 	 -208 	 655 	-253 	 -69 	 9 	
609 	 -242 	 694 	-253 	 -69 	 9 	
682 	 -289 	 704 	-267 	 -70 	 18 	
683 	 -278 	 712 	-273 	 -79 	 24 	
691 	 -328 	 597 	-279 	 -85 	 27 	
588 	 -322 	 585 	-282 	 -111 	 37 	
680 	 -203 	 -42 	-282 	 -111 	 37 	
561 	 -294 	 698 	-286 	 -130 	 48 	
651 	 -458 	 650 	-285 	 -153 	 40 	
716 	 -518 	 508 	-279 	 -174 	 36 	
526 	 -408 	 641 	-276 	 -189 	 39 	
674 	 -561 	 630 	-288 	 -204 	 31 	
524 	 -584 	 591 	-288 	 -204 	 31 	
497 	 -568 	 595 	-270 	 -216 	 24 	
485 	 -635 	 567 	-264 	 -238 	 18 	
425 	 -655 	 590 	-256 	 -262 	 24 	
404 	 -804 	 480 	-252 	 -297 	 21 	
406 	 -799 	 515 	-252 	 -297 	 21 	
392 	 -896 	 377 	-232 	 -328 	 42 	
225 	 -790 	 380 	-213 	 -369 	 54 	
285 	 -1002 	 248 	-217 	 -399 	 72 	
232 	 -917 	 291 	-181 	 -427 	 96 	
173 	 -956 	 233 	-181 	 -427 	 96 	
164 	 -882 	 295 	-181 	 -451 	 93 	
133 	 -1018 	 133 	-162 	 -462 	 106 	
188 	 -986 	 206 	-150 	 -493 	 108 	
63 	 -1033 	 -4 	-124 	 -504 	 99 	
89 	 -1061 	 231 	-124 	 -504 	 99 	
-133 	 -909 	 125 	-94 	 -513 	 112 	
-171 	 -936 	 252 	-103 	 -507 	 109 	
-108 	 -1014 	 95 	-79 	 -520 	 123 	
-172 	 -926 	 143 	-76 	 -529 	 108 	
-184 	 -1001 	 124 	-61 	 -532 	 114 	
-243 	 -963 	 99 	-61 	 -532 	 114 	
-225 	 -980 	 70 	-36 	 -543 	 123 	
-235 	 -1020 	 165 	-19 	 -556 	 138 	
-185 	 -1016 	 100 	7 	 -547 	 127 	
-184 	 -968 	 204 	10 	 -561 	 118 	
-318 	 -1057 	 185 	10 	 -561 	 118 	
-314 	 -959 	 272 	27 	 -553 	 102 	
-275 	 -897 	 154 	27 	 -559 	 73 	
-252 	 -864 	 199 	28 	 -546 	 21 	
-335 	 -828 	 277 	19 	 -511 	 -13 	
-333 	 -853 	 362 	19 	 -511 	 -13 	
-385 	 -881 	 312 	27 	 -490 	 -46 	
-363 	 -890 	 384 	36 	 -493 	 -45 	
-256 	 -933 	 305 	54 	 -504 	 -37 	
-339 	 -920 	 372 	58 	 -517 	 -25 	
-348 	 -924 	 170 	58 	 -517 	 -25 	
-298 	 -932 	 111 	39 	 -534 	 18 	
-370 	 -945 	 182 	25 	 -532 	 33 	
-267 	 -946 	 78 	15 	 -546 	 63 	
-290 	 -968 	 38 	21 	 -556 	 79 	
-253 	 -947 	 80 	31 	 -556 	 105 	
-283 	 -962 	 283 	31 	 -556 	 105 	
-215 	 -1005 	 163 	27 	 -567 	 99 	
-258 	 -941 	 139 	28 	 -564 	 90 	
-317 	 -916 	 225 	33 	 -547 	 52 	
-324 	 -882 	 394 	31 	 -525 	 12 	
-189 	 -899 	 391 	31 	 -525 	 12 	
-249 	 -823 	 527 	25 	 -495 	 -27 	
-278 	 -922 	 531 	28 	 -465 	 -76 	
-203 	 -821 	 475 	13 	 -448 	 -96 	
-221 	 -747 	 638 	12 	 -427 	 -108 	
-183 	 -750 	 602 	12 	 -427 	 -108 	
-164 	 -747 	 653 	0 	 -405 	 -114 	
-222 	 -686 	 738 	-3 	 -384 	 -136 	
-122 	 -698 	 617 	-7 	 -370 	 -136 	
-172 	 -630 	 768 	-16 	 -351 	 -141 	
-122 	 -616 	 822 	-16 	 -351 	 -141 	
-188 	 -522 	 801 	-18 	 -328 	 -156 	
-83 	 -662 	 758 	-30 	 -307 	 -171 	
