STEVAL-MKI247A (LSM6DSV80X)

G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
0.4375 	 -0.2275 	 -0.07875 	
0.48125 	 -0.16625 	 -0.02625 	
0.42 	 -0.09625 	 0 	
0.4025 	 -0.13125 	 -0.105 	
0.51625 	 -0.04375 	 -0.06125 	
0.4375 	 -0.14875 	 0.00875 	
0.4025 	 -0.11375 	 0 	
0.4025 	 -0.1925 	 -0.035 	
0.48125 	 -0.21 	 -0.0875 	
0.3675 	 -0.32375 	 -0.07875 	
0.39375 	 -0.2275 	 -0.06125 	
0.4725 	 -0.18375 	 -0.0525 	
0.525 	 -0.1925 	 -0.02625 	
0.55125 	 -0.16625 	 -0.06125 	
0.455 	 -0.18375 	 -0.02625 	
0.42875 	 -0.2975 	 -0.105 	
0.48125 	 -0.32375 	 -0.07 	
0.525 	 -0.245 	 -0.0875 	
0.42875 	 -0.09625 	 -0.06125 	
0.4725 	 -0.0875 	 -0.0525 	
0.46375 	 -0.14875 	 -0.13125 	
0.49875 	 -0.1925 	 -0.07875 	
0.4375 	 -0.16625 	 -0.035 	
0.53375 	 -0.1575 	 -0.06125 	
0.525 	 -0.1225 	 -0.11375 	
0.49875 	 -0.175 	 -0.11375 	
0.44625 	 -0.11375 	 -0.06125 	
0.4725 	 -0.16625 	 0.035 	
0.44625 	 -0.2975 	 0.0175 	
0.48125 	 -0.28 	 -0.06125 	
0.4025 	 -0.16625 	 -0.13125 	
0.4375 	 -0.2625 	 -0.18375 	
0.42875 	 -0.23625 	 -0.11375 	
0.455 	 -0.105 	 -0.04375 	
0.49875 	 -0.175 	 -0.0875 	
0.4375 	 -0.34125 	 -0.0875 	
