A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
237.168 	 928.176 	 -121.024 	4.97 	 26.88 	 -2.66 	
-320.616 	 1081.9 	 -52.216 	6.3 	 15.96 	 -6.16 	
-638.792 	 1146.8 	 -32.208 	-14 	 -78.54 	 -3.57 	
305 	 970.632 	 -146.888 	-26.18 	 -159.95 	 -3.78 	
1193.16 	 730.048 	 -250.344 	-17.43 	 -75.53 	 1.33 	
707.6 	 868.64 	 -264.008 	13.16 	 96.88 	 -7.56 	
256.688 	 997.472 	 -322.568 	23.73 	 192.36 	 -24.15 	
-551.44 	 1097.02 	 -156.648 	16.66 	 183.96 	 -34.09 	
-1222.93 	 1183.89 	 86.376 	-6.72 	 40.18 	 -20.51 	
-123.464 	 983.808 	 -81.496 	-19.53 	 -115.36 	 -6.3 	
695.4 	 863.272 	 -136.64 	-11.83 	 -111.72 	 10.29 	
1062.38 	 799.832 	 -225.456 	9.94 	 21.07 	 7.77 	
309.392 	 995.52 	 -285.968 	29.19 	 161.98 	 -8.26 	
-753.472 	 1156.07 	 -50.264 	25.76 	 162.82 	 -24.15 	
-1240.98 	 1282.46 	 77.592 	-7.98 	 -1.75 	 -12.88 	
-274.256 	 909.632 	 -138.592 	-28.7 	 -167.51 	 4.27 	
830.088 	 818.864 	 -173.24 	-14.49 	 -179.34 	 26.25 	
1281 	 803.248 	 -295.24 	14.21 	 -10.01 	 13.09 	
298.168 	 964.288 	 -303.536 	33.39 	 149.87 	 -10.57 	
-772.016 	 1265.38 	 -68.808 	18.76 	 149.87 	 -24.43 	
-1191.21 	 1100.44 	 57.096 	-19.25 	 -25.55 	 -11.97 	
146.4 	 936.472 	 -109.8 	-27.16 	 -152.74 	 2.66 	
678.808 	 822.768 	 -165.432 	-11.13 	 -115.01 	 22.4 	
449.448 	 935.496 	 -123.952 	7.91 	 -13.65 	 12.39 	
199.592 	 975.512 	 -125.416 	14.14 	 47.53 	 -6.79 	
-124.928 	 1038.46 	 -71.736 	9.52 	 54.39 	 -15.61 	
-183.488 	 1015.53 	 -47.824 	3.43 	 21.07 	 -10.71 	
-40.016 	 991.128 	 -60.024 	0.07 	 -8.05 	 0.42 	
64.904 	 994.056 	 -75.64 	0.07 	 -17.22 	 7.28 	
93.208 	 993.568 	 -95.648 	-0.07 	 -11.41 	 7.49 	
34.648 	 986.248 	 -77.104 	0.56 	 -6.58 	 3.85 	
-54.656 	 987.712 	 -56.608 	1.12 	 -13.65 	 -1.05 	
-109.8 	 976.488 	 -60.512 	0.84 	 -31.15 	 -1.89 	
-181.048 	 1004.3 	 -66.856 	-0.63 	 -65.03 	 -0.63 	
-159.088 	 1001.38 	 -95.648 	-3.5 	 -102.97 	 2.24 	
-149.816 	 1013.09 	 -123.464 	-6.93 	 -140.63 	 7.49 	
-3.416 	 978.44 	 -157.136 	-8.54 	 -162.33 	 6.72 	
104.432 	 965.752 	 -168.36 	-7.56 	 -162.68 	 -0.28 	
154.208 	 979.416 	 -156.648 	-4.62 	 -144.9 	 -1.96 	
198.616 	 996.008 	 -156.16 	-4.69 	 -116.27 	 0.49 	
184.952 	 980.392 	 -132.248 	-3.5 	 -81.2 	 6.58 	
190.32 	 960.384 	 -125.416 	0.56 	 -43.61 	 5.74 	
118.584 	 998.448 	 -112.728 	2.73 	 -11.13 	 1.61 	
157.624 	 967.704 	 -114.68 	3.22 	 14.21 	 -4.41 	
38.064 	 915.488 	 -126.392 	8.12 	 39.69 	 -10.36 	
-225.456 	 1035.05 	 -90.28 	10.01 	 35.98 	 -11.13 	
-708.576 	 1144.36 	 -2.928 	-3.36 	 -23.52 	 1.26 	
-390.4 	 1002.84 	 -102.48 	-21.42 	 -128.03 	 12.95 	
670.024 	 859.856 	 -127.368 	-18.34 	 -147 	 15.68 	
1334.68 	 622.688 	 -332.816 	13.65 	 15.33 	 -9.87 	
99.064 	 1001.38 	 -386.008 	39.13 	 185.57 	 -35.63 	
-1739.72 	 1621.62 	 18.544 	-5.11 	 125.65 	 -14 	
-938.912 	 934.032 	 -105.896 	-48.58 	 -128.38 	 20.23 	
246.928 	 687.104 	 -196.176 	-40.25 	 -227.5 	 19.25 	
1100.93 	 830.088 	 -199.592 	-9.66 	 -165.48 	 12.32 	
1071.65 	 706.624 	 -276.208 	35.7 	 48.72 	 -29.4 	
59.048 	 1191.21 	 -341.112 	45.99 	 187.88 	 -35.14 	
-1164.37 	 1301.01 	 -81.496 	8.19 	 160.58 	 -23.24 	
-1525 	 1092.63 	 22.448 	-40.88 	 -67.62 	 13.86 	
-13.664 	 854.976 	 -201.056 	-46.48 	 -230.23 	 21.35 	
1274.66 	 748.104 	 -270.352 	-27.3 	 -179.62 	 19.46 	
766.16 	 741.272 	 -166.408 	11.69 	 32.76 	 -12.74 	
55.144 	 1107.27 	 -239.608 	33.39 	 154.63 	 -30.45 	
-1374.7 	 1370.79 	 86.864 	5.04 	 99.89 	 -5.18 	
-645.136 	 912.072 	 10.736 	-17.71 	 -86.24 	 8.75 	
752.008 	 822.768 	 -123.952 	-7.21 	 -122.22 	 11.27 	
414.8 	 896.944 	 -118.584 	15.82 	 -6.02 	 -2.1 	
-237.656 	 1134.11 	 -79.544 	21.42 	 47.25 	 0 	
-293.776 	 1074.58 	 -46.36 	4.55 	 10.64 	 4.83 	
-10.736 	 948.184 	 -29.768 	-2.31 	 -13.3 	 3.01 	
