accX[mg]	accY[mg]	accZ[mg] 
615.124	-689.3	406.504
612.684	-674.416	406.748
615.368	-693.692	406.504
606.584	-678.808	401.868
619.028	-685.396	404.308
612.684	-681.248	399.428
617.076	-687.348	402.356
610.488	-681.736	397.72
616.344	-685.64	407.724
611.464	-678.808	401.624
612.196	-683.688	402.844
611.708	-681.736	409.676
615.124	-680.76	397.72
617.076	-688.812	405.04
614.148	-680.516	400.16
616.832	-691.252	404.796
608.78	-678.076	404.552
616.1	-686.128	402.356
610	-676.612	399.428
617.564	-689.3	399.184
611.708	-679.54	392.84
619.272	-683.688	403.332
618.296	-690.032	401.136
612.928	-680.76	398.452
617.564	-690.032	407.724
610.244	-684.176	398.94
614.636	-684.664	401.624
611.464	-684.176	396.988
611.708	-680.76	400.892
616.832	-688.568	400.892
610.732	-683.932	397.476
619.028	-683.2	401.868
616.344	-690.764	393.816
616.832	-680.028	401.38
615.124	-687.836	396.988
608.78	-680.76	392.108
615.612	-688.568	405.04
621.712	-684.42	396.012
617.808	-683.688	396.5
618.296	-682.468	396.256
617.076	-685.64	399.184
618.052	-686.616	394.792
614.636	-683.688	397.476
616.832	-681.736	394.06
620.736	-688.324	395.036
608.048	-686.616	392.352
622.688	-684.42	403.332
613.904	-685.64	397.476
620.004	-681.004	403.576
615.124	-684.664	390.888
616.832	-681.98	395.768
620.98	-690.276	397.72
616.588	-679.784	394.304
618.784	-685.884	400.16
618.296	-686.616	395.28
617.564	-684.664	394.792
618.296	-681.98	395.768
617.076	-680.272	396.988
619.76	-683.444	398.94
615.612	-685.64	397.964
614.636	-685.884	403.088
618.052	-682.224	398.94
619.028	-684.664	394.06
611.708	-683.688	403.82
615.368	-684.908	397.964
609.024	-680.516	398.696
614.636	-681.98	400.404
616.832	-689.056	400.892
613.904	-688.08	403.82
615.124	-681.004	404.308
613.416	-682.956	398.696
614.636	-686.372	404.796
615.856	-682.224	401.136
613.172	-685.64	398.452
614.636	-681.004	406.992
615.612	-686.128	403.088
613.904	-676.856	400.892
621.956	-691.984	406.26
609.024	-681.004	397.476
613.416	-683.2	406.992
612.928	-681.98	399.428
619.272	-684.664	408.944
