@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_V numeric
@attribute F4_VAR_on_ACC_X numeric
@attribute F5_VAR_on_ACC_Y numeric
@attribute F6_VAR_on_ACC_V numeric
@attribute F7_ENERGY_on_ACC_X numeric
@attribute F8_ENERGY_on_ACC_Y numeric
@attribute F9_ENERGY_on_ACC_V numeric
@attribute F10_PeakToPeak_on_ACC_X numeric
@attribute F11_PeakToPeak_on_ACC_Y numeric
@attribute F12_PeakToPeak_on_ACC_V numeric
@attribute class {stationary, motion, jackup, crash}

@data
-0.0827026, -0.140381, 1.03809, 0.00704575, 0.0200806, 0.00976563, 1.44336, 4.13672, 113, 0.381348, 0.558105, 0.550293, motion
-0.0848389, -0.118774, 1.04004, 0.00812531, 0.0213318, 0.0078125, 1.59277, 3.68164, 113.25, 0.480469, 0.536621, 0.65918, motion
-0.0955811, -0.0293579, 1.03516, 0.0141525, 0.0124817, 0.0175781, 2.41992, 1.38672, 113.188, 0.748535, 0.543945, 0.945313, motion
-0.0864868, -0.107056, 1.04785, 0.0179291, 0.0380249, 0.0292969, 2.64063, 5.14063, 117.188, 0.849121, 0.760254, 1.21191, motion
-0.076416, -0.156616, 1.04883, 0.0185852, 0.0283508, 0.03125, 2.53906, 5.49609, 117.5, 0.791016, 0.781738, 1.13672, motion
-0.100769, -0.0105209, 1.03711, 0.0151596, 0.00928497, 0.00878906, 2.63086, 0.976563, 112.688, 0.736816, 0.500977, 0.608398, motion
-0.0827637, -0.141724, 1.04297, 0.00732422, 0.0297852, 0.0078125, 1.47363, 5.18359, 113.938, 0.488037, 0.784668, 0.732422, motion
-0.0901489, -0.126099, 1.04297, 0.00971222, 0.0278015, 0, 1.85449, 4.54297, 113, 0.492188, 0.70166, 0.414063, motion
-0.0952759, -0.0227203, 1.03809, 0.0152893, 0.0154266, 0.0214844, 2.5332, 1.6582, 114.188, 0.71582, 0.578125, 0.839844, motion
-0.0790405, -0.148315, 1.04004, 0.0133896, 0.020752, 0.0263672, 2.04102, 4.44531, 115.188, 0.662109, 0.645996, 0.916504, motion
-0.100342, -0.17041, 1.01855, 6.86646e-05, 0.000839233, 0.0117188, 1.05371, 3.10547, 109.063, 0.0484619, 0.18396, 0.097168, jackup
-0.0984497, -0.189697, 1.0166, 0.00012207, 0.000457764, 0.0195313, 1.01953, 3.78711, 109.375, 0.0636597, 0.144043, 0.0664063, jackup
-0.0990601, -0.18689, 1.01758, 2.28882e-05, 3.05176e-05, 0.0175781, 1.02246, 3.63477, 109.438, 0.0336914, 0.067627, 0.0234375, jackup
-0.0986938, -0.193726, 1.02051, 0.000114441, 0.000823975, 0.0078125, 1.02441, 3.98828, 109, 0.0577393, 0.218018, 0.065918, jackup
-0.0976563, -0.207397, 1.02051, 3.8147e-05, 0.000823975, 0.0078125, 0.995605, 4.55469, 109.063, 0.0465088, 0.180542, 0.109375, jackup
-0.0942993, -0.229126, 1.0166, 9.91821e-05, 0.000335693, 0.0195313, 0.935059, 5.49219, 109.438, 0.076416, 0.105591, 0.046875, jackup
-0.0940552, -0.231079, 1.0166, 7.62939e-06, 0.000305176, 0.0224609, 0.92041, 5.58203, 109.688, 0.0322266, 0.0725098, 0.0224609, jackup
-0.0950928, -0.22583, 1.0166, 3.05176e-05, 0.00012207, 0.0205078, 0.942871, 5.3125, 109.5, 0.0175781, 0.0693359, 0.0166016, jackup
-0.0949097, -0.228516, 1.01953, 6.86646e-05, 6.10352e-05, 0.0136719, 0.943359, 5.43359, 109.375, 0.0567017, 0.0825195, 0.0581055, jackup
-0.0926514, -0.230957, 1.01758, 0.000160217, 0, 0.0185547, 0.90918, 5.50391, 109.563, 0.118713, 0.133911, 0.0625, jackup
-0.0933228, -0.229126, 1.02148, 0.000106812, 0.00119019, 0.0107422, 0.916504, 5.57813, 109.5, 0.0715332, 0.442383, 0.144043, jackup
-0.0921631, -0.243652, 1.02441, 0.000236511, 0.00167847, 0.000976563, 0.907227, 6.34375, 109.188, 0.0933838, 0.257568, 0.101074, jackup
-0.0905151, -0.25415, 1.02344, 9.15527e-05, 0.00201416, 0.00195313, 0.861328, 6.92188, 109.125, 0.0667114, 0.379883, 0.105957, jackup
-0.0886841, -0.269043, 1.02344, 0.000282288, 0.00213623, 0.00390625, 0.84668, 7.74609, 109.313, 0.0979004, 0.272217, 0.193848, jackup
-0.0875854, -0.269287, 1.0127, 0.000171661, 0.00268555, 0.0166016, 0.814941, 7.81641, 108.313, 0.1073, 0.387939, 1.10352, jackup
-0.088623, -0.269531, 1.02441, 0.000228882, 0.00231934, 0.00292969, 0.839844, 7.79297, 109.375, 0.0979004, 0.272217, 0.193848, jackup
0.241089, -0.0484009, 1.0127, 0.000183105, 3.24249e-05, 0.0117188, 6.0625, 0.246826, 107.75, 0.0910645, 0.0282288, 0.0664063, jackup
0.269287, -0.0423889, 1.01465, 0.000305176, 2.38419e-05, 0.0107422, 7.57031, 0.189209, 108.125, 0.0708008, 0.0354919, 0.0410156, jackup
0.287354, -0.0400085, 1.01367, 0.00012207, 1.90735e-05, 0.0126953, 8.59375, 0.168335, 108.063, 0.0588379, 0.0263519, 0.0429688, jackup
0.29248, -0.0384521, 1.0127, 0.00012207, 1.90735e-05, 0.0166016, 8.90625, 0.15564, 108.313, 0.067627, 0.030304, 0.0371094, jackup
0.295166, -0.0372009, 1.0166, 0, 2.19345e-05, 0.00488281, 9.05469, 0.146118, 107.875, 0.0791016, 0.024765, 0.0429688, jackup
0.297852, -0.0364075, 1.0127, 0.000366211, 2.57492e-05, 0.0117188, 9.26563, 0.140503, 107.75, 0.0791016, 0.024765, 0.0380859, jackup
0.290527, -0.0371399, 1.00391, 0.000915527, 4.1008e-05, 0.0244141, 8.86719, 0.147583, 107.313, 0.317383, 0.0485535, 1.03516, jackup
0.295898, -0.0372925, 1.01172, 0, 3.52859e-05, 0.0175781, 9.07031, 0.148193, 108.188, 0.0791016, 0.024765, 0.0429688, jackup
0.27417, -0.0438232, 1.02832, 0.0108643, 0.00509644, 0.0107422, 8.94531, 0.729004, 111, 1.16406, 0.822754, 0.674805, jackup
0.13623, -0.0361023, 1.01758, 0.00253296, 0.000137329, 0.0107422, 2.19141, 0.14978, 108.75, 0.366211, 0.085144, 0.332031, jackup
0.161011, -0.0329895, 1.01855, 0.00190735, 9.53674e-05, 0.00683594, 2.89258, 0.122986, 108.5, 0.384033, 0.0526123, 0.334961, jackup
0.180298, -0.0306244, 1.02246, 0.00180054, 0.000161648, 0.000976563, 3.56445, 0.114258, 108.813, 0.343506, 0.0856323, 0.222168, jackup
0.209717, -0.0268402, 1.01855, 0.00241089, 8.44002e-05, 0.0078125, 4.82031, 0.0836792, 108.563, 0.487061, 0.067627, 0.323242, jackup
0.235718, -0.0231323, 1.02051, 0.00186157, 0.000119686, 0, 5.96875, 0.0680542, 108.125, 0.252197, 0.0610352, 0.148438, jackup
0.26001, -0.02005, 1.01758, 0.00231934, 0.000155449, 0.00878906, 7.27344, 0.0579529, 108.5, 0.309814, 0.0684814, 0.178711, jackup
0.28418, -0.0171661, 1.02246, 0.00268555, 0.000278473, 0, 8.67188, 0.0595703, 108.438, 0.341309, 0.108215, 0.194824, jackup
0.299072, -0.0154572, 1.01758, 0.00354004, 0.000218868, 0.00878906, 9.66406, 0.0475769, 108.5, 0.393799, 0.079895, 0.195801, jackup
0.295166, -0.0148239, 1.01953, 0.00445557, 0.000298262, 0.00683594, 9.51563, 0.053833, 108.688, 0.393799, 0.108215, 0.206543, jackup
0.281982, -0.0169983, 1.01172, 0.00366211, 0.000299931, 0.00878906, 8.64844, 0.0612183, 107.25, 0.368652, 0.108215, 1.07324, jackup
0.295898, -0.0160065, 1.01855, 0.00354004, 0.000195026, 0.00878906, 9.46875, 0.0469055, 108.688, 0.393799, 0.079895, 0.195801, jackup
0.294434, -0.0153046, 1.01953, 0.00335693, 0.000263691, 0.00585938, 9.35938, 0.0517273, 108.625, 0.368408, 0.108215, 0.206543, jackup
-0.0922852, -0.195557, 1.02148, 0.000984192, 0.00268555, 0.0117188, 0.987305, 4.25391, 109.625, 0.197266, 0.358643, 0.182617, jackup
-0.0913086, -0.211182, 1.01953, 0.00120544, 0.0010376, 0.0126953, 0.991699, 4.74219, 109.313, 0.253662, 0.268555, 0.109375, jackup
-0.0877686, -0.228027, 1.02441, 0.000782013, 0.000610352, 0.00195313, 0.881836, 5.46875, 109.313, 0.190674, 0.24353, 0.129883, jackup
-0.0861206, -0.244019, 1.02441, 0.00110626, 0.00119019, 0, 0.885742, 6.3125, 109.063, 0.216919, 0.29541, 0.10791, jackup
-0.0838013, -0.262207, 1.02637, 0.00112534, 0.00384521, 0, 0.84668, 7.54297, 109.563, 0.25708, 0.530273, 0.182129, jackup
-0.0802002, -0.277832, 1.02441, 0.000919342, 0.00109863, 0.00292969, 0.76416, 8.14063, 109.375, 0.188354, 0.229736, 0.114746, jackup
-0.0786133, -0.296875, 1.02637, 0.00111008, 0.00372314, 0.00195313, 0.757813, 9.54688, 109.688, 0.276855, 0.510254, 0.202148, jackup
-0.0760498, -0.31665, 1.02539, 0.000976563, 0.00170898, 0.00195313, 0.702637, 10.6016, 109.563, 0.192871, 0.347656, 0.150391, jackup
-0.0723267, -0.338867, 1.02441, 0.000694275, 0.000183105, 0.00292969, 0.615723, 11.9531, 109.438, 0.192139, 0.147217, 0.202637, jackup
-0.0717163, -0.344727, 1.02637, 0.000423431, 0.000610352, 0, 0.578613, 12.4141, 109.438, 0.121216, 0.20874, 0.109375, jackup
-0.0715942, -0.34668, 1.01953, 0.000144958, 0, 0.0166016, 0.547852, 12.4688, 109.688, 0.078186, 0.0620117, 0.0361328, jackup
-0.0723267, -0.344482, 1.02246, 8.01086e-05, 0.000244141, 0.00976563, 0.551758, 12.3594, 109.75, 0.0703125, 0.0478516, 0.0458984, jackup
-0.0718994, -0.337646, 1.0166, 0.00069809, 0.00134277, 0.00976563, 0.609863, 11.9922, 108.438, 0.192139, 0.404541, 1.14746, jackup
-0.0718384, -0.343018, 1.02344, 0.000400543, 0.000976563, 0.00585938, 0.578125, 12.3359, 109.563, 0.121216, 0.20874, 0.109375, jackup
-0.0715332, -0.347168, 1.01758, 0.000164032, 0, 0.0214844, 0.548828, 12.5, 109.813, 0.078186, 0.0620117, 0.0361328, jackup
-0.0721436, -0.344238, 1.02246, 8.01086e-05, 6.10352e-05, 0.00976563, 0.549316, 12.3281, 109.688, 0.0703125, 0.0478516, 0.0458984, jackup
-0.0837402, -0.0866699, 1.17871, 0.125366, 0.285156, 0.138672, 13.75, 30.4219, 158.875, 1.87305, 3.46289, 1.92383, crash
-0.128052, -0.0393066, 1.20508, 0.23291, 0.354492, 0.235352, 25.9063, 37, 175.375, 2.12305, 3.26172, 2.33203, crash
-0.0828247, -0.0544434, 1.02734, 0.0100632, 0.0164642, 0.0185547, 1.75879, 2.01953, 111.625, 1.25, 1.54688, 1.24316, crash
-0.0776978, -0.0292969, 1.11914, 0.128174, 0.193481, 0.120117, 13.9453, 20.2031, 142.75, 2.49805, 3.58789, 2.42188, crash
-0.117188, -0.0913086, 1.23828, 0.286865, 0.372803, 0.207031, 31.2344, 39.625, 180.875, 3.21094, 3.68555, 2.5293, crash
-0.0822144, -0.173462, 1.25684, 0.297363, 0.439697, 0.275391, 31.6094, 48.8125, 192.875, 3.48242, 3.94531, 2.70117, crash
-0.0718384, -0.133301, 1.26953, 0.284912, 0.447021, 0.255859, 30.1406, 48.3125, 194.125, 3.76953, 3.70117, 2.23242, crash
