@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {boat, bow, bridge, child, cobra, DFD, medita, plank, SFB, SM, SS, TESA, tree, UP}

@data
-0.0785522, -0.256348, 0.96875, SFB
-0.0785522, -0.257324, 0.96875, SFB
-0.0784302, -0.25708, 0.96875, SFB
-0.0788574, -0.256836, 0.96875, SFB
-0.078125, -0.257324, 0.96875, SFB
-0.0786133, -0.259521, 0.96875, SFB
-0.0784302, -0.260498, 0.96875, SFB
-0.0785522, -0.262451, 0.967773, SFB
-0.0784302, -0.260742, 0.967773, SFB
-0.0786133, -0.261475, 0.967773, SFB
-0.078125, -0.264404, 0.967773, SFB
-0.0785522, -0.265137, 0.967773, SFB
-0.078125, -0.265381, 0.967773, SFB
-0.0778809, -0.264404, 0.967773, SFB
-0.0776367, -0.265869, 0.967773, SFB
-0.0260468, -0.0690918, 1.01855, SFB
-0.0265503, -0.0653687, 0.999023, SFB
-0.0261536, -0.0629272, 1, SFB
-0.0261993, -0.0619507, 1, SFB
-0.0287323, -0.0514221, 0.999023, SFB
-0.0289917, -0.0521545, 1, SFB
-0.0300598, -0.046936, 1, SFB
-0.0275421, -0.0536194, 1, SFB
-0.0294647, -0.04953, 1, SFB
-0.0280151, -0.0560913, 1, SFB
-0.0281372, -0.0552368, 1, SFB
-0.0280914, -0.0539551, 1, SFB
-0.0290222, -0.0534058, 1, SFB
-0.029892, -0.0524292, 1, SFB
-0.0318298, -0.0478821, 1, SFB
-0.0337219, -0.0426331, 1, SFB
-0.0363159, -0.0415649, 1, SFB
-0.0352173, -0.0407104, 1, SFB
-0.0337524, -0.0444336, 1, SFB
-0.0327759, -0.0447693, 1, SFB
-0.0325317, -0.0449829, 1, SFB
-0.0318604, -0.0446777, 1, SFB
-0.0307617, -0.0469055, 1, SFB
-0.0299683, -0.0486755, 1, SFB
-0.0302429, -0.0505676, 1, SFB
-0.0296478, -0.0500793, 1, SFB
-0.0274658, -0.0523987, 1, SFB
-1.01563, -0.00736618, -0.0352478, SM
-1.00195, 0.0125504, -0.12323, SM
-0.954102, 0.0635376, -0.0330811, SM
-1.03125, 0.156372, -0.0596924, SM
-0.979492, 0.101379, 0.00388908, SM
