A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
616.344 	 781.288 	 -162.016 	-41.23 	 -141.68 	 18.83 	
660.752 	 791.048 	 -133.224 	-3.92 	 -48.58 	 2.17 	
546.56 	 840.336 	 -172.752 	28.91 	 46.62 	 -13.58 	
456.28 	 866.688 	 -237.168 	49.84 	 122.43 	 -29.61 	
227.408 	 886.208 	 -324.032 	64.61 	 179.13 	 -41.44 	
-11.224 	 960.384 	 -321.592 	70.84 	 199.15 	 -44.38 	
-204.96 	 1039.44 	 -311.832 	66.36 	 186.34 	 -32.06 	
-420.168 	 1163.88 	 -223.016 	49.28 	 135.94 	 -17.43 	
-471.408 	 1194.14 	 -146.888 	19.39 	 51.87 	 -6.93 	
-367.952 	 1141.43 	 -177.632 	-14.77 	 -36.12 	 5.39 	
-274.256 	 1077.99 	 -243.024 	-42.98 	 -112.84 	 16.66 	
-172.752 	 1041.39 	 -269.376 	-61.46 	 -174.23 	 23.8 	
2.44 	 939.888 	 -295.728 	-73.29 	 -205.38 	 31.71 	
325.496 	 836.92 	 -262.544 	-67.83 	 -203 	 34.86 	
648.064 	 776.896 	 -191.296 	-41.58 	 -134.96 	 24.78 	
386.496 	 857.416 	 -134.688 	-10.08 	 -53.2 	 9.17 	
324.032 	 953.552 	 -125.904 	8.82 	 4.83 	 -4.55 	
160.552 	 979.904 	 -130.296 	13.58 	 38.71 	 -11.83 	
3.416 	 991.616 	 -100.528 	13.65 	 48.09 	 -12.74 	
8.784 	 994.056 	 -97.112 	11.41 	 39.13 	 -9.24 	
-23.424 	 1006.26 	 -95.16 	9.24 	 29.96 	 -5.53 	
30.256 	 1032.12 	 -92.232 	4.69 	 18.13 	 -2.8 	
35.624 	 992.592 	 -88.816 	1.26 	 11.76 	 -0.77 	
51.728 	 988.688 	 -80.032 	1.19 	 7.63 	 -1.26 	
59.048 	 975.024 	 -83.936 	1.68 	 5.25 	 -2.45 	
41.968 	 986.248 	 -98.576 	2.8 	 3.78 	 -2.1 	
7.32 	 1005.28 	 -109.8 	1.61 	 -0.63 	 -1.19 	
-155.672 	 1099.95 	 -93.208 	-6.23 	 -17.15 	 3.99 	
-310.856 	 1220 	 -82.472 	-30.52 	 -60.83 	 19.81 	
-206.424 	 1067.74 	 -104.92 	-59.08 	 -119.77 	 33.25 	
39.528 	 942.816 	 -128.344 	-70.7 	 -155.82 	 36.61 	
253.272 	 921.832 	 -89.304 	-69.65 	 -162.47 	 31.15 	
494.344 	 818.376 	 -44.896 	-58.24 	 -126.42 	 15.54 	
657.824 	 739.808 	 5.856 	-26.67 	 -59.64 	 0.42 	
617.808 	 768.6 	 -24.4 	16.45 	 31.29 	 -16.31 	
456.28 	 872.544 	 -94.672 	51.03 	 109.97 	 -27.02 	
467.016 	 836.92 	 -223.504 	71.68 	 175.77 	 -37.94 	
151.28 	 863.76 	 -342.576 	86.94 	 226.1 	 -48.51 	
-131.272 	 982.344 	 -357.216 	90.58 	 236.67 	 -52.22 	
-405.528 	 1078.97 	 -324.032 	78.26 	 206.08 	 -45.15 	
-583.648 	 1312.23 	 -147.864 	46.2 	 121.31 	 -24.22 	
-643.672 	 1295.15 	 -96.624 	-4.34 	 22.19 	 -8.33 	
-453.84 	 1125.33 	 -131.76 	-47.32 	 -83.09 	 9.45 	
-292.8 	 1049.2 	 -191.784 	-72.8 	 -161.35 	 25.2 	
-122 	 984.784 	 -223.504 	-84.49 	 -210 	 34.02 	
215.696 	 847.168 	 -199.104 	-80.36 	 -217.7 	 36.19 	
456.768 	 842.288 	 -111.264 	-60.62 	 -177.94 	 31.43 	
711.504 	 756.4 	 -43.92 	-27.16 	 -95.83 	 17.15 	
621.712 	 794.952 	 -55.144 	15.4 	 11.9 	 -4.34 	
472.384 	 885.72 	 -122 	49.56 	 98.84 	 -20.79 	
353.312 	 861.808 	 -233.752 	67.97 	 166.74 	 -31.22 	
36.112 	 964.288 	 -314.272 	76.79 	 203.35 	 -34.23 	
-360.144 	 1146.31 	 -247.416 	71.33 	 191.24 	 -24.01 	
-437.736 	 1241.47 	 -125.904 	39.69 	 130.55 	 -8.12 	
-332.816 	 1138.99 	 -71.248 	5.39 	 53.97 	 6.44 	
-30.256 	 1000.4 	 -81.984 	-12.04 	 -0.28 	 13.79 	
186.904 	 898.896 	 -105.408 	-10.99 	 -11.2 	 13.02 	
