#Format version: 1.0
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],
39756130,-0.07,-0.21,-3.92,1.004,-0.006,-0.004,
39756150,0.35,0.49,-2.94,1.002,-0.011,-0.005,
39756170,0.7,0.7,-2.31,0.998,-0.008,0,
39756190,0.28,-0.49,-1.54,1,-0.011,-0.002,
39756210,0.42,-0.91,-1.54,1.001,-0.009,-0.004,
39756230,0.42,-0.91,-1.54,1.001,-0.009,-0.004,
39756250,0.77,-1.05,-1.4,1.001,-0.014,-0.003,
39756270,0.84,-0.42,-1.89,1.002,-0.007,-0.002,
39756290,0.07,-0.98,-3.22,1.001,-0.014,-0.005,
39756310,0.14,-1.19,-3.22,1,-0.002,0,
39756320,0.14,-1.96,-1.82,1,-0.006,-0.003,
39756340,0.49,-1.19,-1.96,1.001,-0.009,-0.005,
39756360,0.56,-0.28,-2.31,1.002,0,-0.002,
39756380,0.35,-0.35,-1.61,1.002,-0.007,-0.003,
39756400,0.63,-0.56,-1.61,1.001,-0.005,-0.001,
39756420,0.28,-1.54,-1.47,0.999,-0.007,-0.001,
39756440,-0.56,-2.73,-3.15,1.003,-0.002,-0.003,
39756460,-0.98,-2.31,-2.45,1,0.001,-0.005,
39756480,-0.77,-2.1,-1.05,1,-0.001,-0.004,
39756500,-0.42,-2.1,-0.35,1.003,-0.002,-0.006,
39756520,0.14,-0.98,-0.28,1.001,-0.002,-0.006,
39756530,0.28,-0.42,-0.35,1.001,-0.002,-0.004,
39756550,0.14,-0.21,-0.56,1.002,-0.002,-0.005,
39756570,0.28,0,-0.7,1.001,-0.001,-0.005,
39756590,0.42,-0.21,-0.63,1.001,-0.002,-0.003,
39756610,0.28,-0.7,-0.7,1,-0.002,-0.004,
39756630,0.21,-1.05,-0.98,1.001,-0.003,-0.004,
39756650,-0.07,-1.19,-1.54,1.001,0,-0.003,
39756670,-0.14,-1.4,-1.47,1.002,-0.001,-0.005,
39756690,0.07,-0.77,-1.05,1.003,0,-0.005,
39756710,0,-0.56,-0.63,0.999,0,-0.004,
39756730,0.07,-1.4,-0.42,1.001,-0.001,-0.005,
39756750,0.21,-1.82,-0.91,1,-0.004,-0.004,
39756760,0.28,-2.24,-1.82,1.002,0.002,-0.007,
39756780,0.35,-1.47,-1.4,1,0.001,-0.004,
39756800,-0.07,-1.4,-1.12,1.003,0.001,-0.006,
39756820,-0.21,-0.91,-0.91,1.001,0.001,-0.005,
39756840,-0.07,-1.4,-0.42,1.001,0,-0.007,
39756860,0,-1.33,-0.28,1,0.001,-0.006,
39756880,0.14,-1.12,-0.28,1.001,0,-0.009,
39756900,0.42,-0.49,-0.42,1,0,-0.006,
39756920,0.28,-0.56,-0.42,1.001,0,-0.006,
39756940,0.14,-0.56,-0.35,1.001,0.001,-0.006,
39756960,0.07,-0.7,-0.49,1.001,0.001,-0.005,
39756980,0.07,-0.7,-0.49,1.001,0.001,-0.005,
39757000,0.21,-1.05,-0.35,1,0,-0.007,
39757010,0.21,-1.19,-0.49,1.001,-0.001,-0.006,
39757030,0.07,-1.26,-1.26,1,0.001,-0.007,
39757050,0.21,-1.12,-1.19,1.001,0.002,-0.007,
